visit_places,rating,visit_place_summary,best_time,state_name,no_of_turist_attration,tokenized_summary
nagaon,3.6,nagaon holds distinction assams populous district one largest district area also famously known rice bowl assam rich paddy district happens rich wildlife part area covered world famous kaz,,assam,,"['nagaon', 'holds', 'distinction', 'assams', 'populous', 'district', 'one', 'largest', 'district', 'area', 'also', 'famously', 'known', 'rice', 'bowl', 'assam', 'rich', 'paddy', 'district', 'happens', 'rich', 'wildlife', 'part', 'area', 'covered', 'world', 'famous', 'kaz']"
sadiya,3.5,situated himalayan foothills sadiya one subdivisional headquarters tinsukia sits confluence three three major rivers dihing tsangpo tibet dibang lohit create mighty brahmaputra elevation 400 feet stands grassy plain,,assam,,"['situated', 'himalayan', 'foothills', 'sadiya', 'one', 'subdivisional', 'headquarters', 'tinsukia', 'sits', 'confluence', 'three', 'three', 'major', 'rivers', 'dihing', 'tsangpo', 'tibet', 'dibang', 'lohit', 'create', 'mighty', 'brahmaputra', 'elevation', '400', 'feet', 'stands', 'grassy', 'plain']"
digboi,3.5,famous oil city assam town houses oldest refinery india crude oil discovered late 19th century primary source raising economic status tinsukia district however city oil also known golf courses ar,,assam,,"['famous', 'oil', 'city', 'assam', 'town', 'houses', 'oldest', 'refinery', 'india', 'crude', 'oil', 'discovered', 'late', '19th', 'century', 'primary', 'source', 'raising', 'economic', 'status', 'tinsukia', 'district', 'however', 'city', 'oil', 'also', 'known', 'golf', 'courses', 'ar']"
haflong,4.2,looking escape biodiversity rich state assam take turn hill station haflong hill station features green rolling hills narrow valleys amazing flora fauna mesmerizing views serene environment perfect visitors come fall,throughout the year,assam,,"['looking', 'escape', 'biodiversity', 'rich', 'state', 'assam', 'take', 'turn', 'hill', 'station', 'haflong', 'hill', 'station', 'features', 'green', 'rolling', 'hills', 'narrow', 'valleys', 'amazing', 'flora', 'fauna', 'mesmerizing', 'views', 'serene', 'environment', 'perfect', 'visitors', 'come', 'fall']"
tezpur,4.1,tezpur located northern bank brahmaputra river sonitpur district assam known cultural capital state deeply rooted historical cultural significance city famous lush greenery heritage sites lakes national parks nearby locate,november-february,assam,10,"['tezpur', 'located', 'northern', 'bank', 'brahmaputra', 'river', 'sonitpur', 'district', 'assam', 'known', 'cultural', 'capital', 'state', 'deeply', 'rooted', 'historical', 'cultural', 'significance', 'city', 'famous', 'lush', 'greenery', 'heritage', 'sites', 'lakes', 'national', 'parks', 'nearby', 'locate']"
bodh gaya,4.4,bodh gaya buddhist pilgrimage site gaya district bihar famous mahabodhi temple bodhi tree gautama buddha attained enlightenment,october to march,bihar,26,"['bodh', 'gaya', 'buddhist', 'pilgrimage', 'site', 'gaya', 'district', 'bihar', 'famous', 'mahabodhi', 'temple', 'bodhi', 'tree', 'gautama', 'buddha', 'attained', 'enlightenment']"
patna,4.0,prospering along southern banks river ganges set backdrop glorious historical past patna boasts dominating presence history enjoys distinction one oldest cities world addition one major popular tourist destin,october to march,bihar,41,"['prospering', 'along', 'southern', 'banks', 'river', 'ganges', 'set', 'backdrop', 'glorious', 'historical', 'past', 'patna', 'boasts', 'dominating', 'presence', 'history', 'enjoys', 'distinction', 'one', 'oldest', 'cities', 'world', 'addition', 'one', 'major', 'popular', 'tourist', 'destin']"
nalanda,3.9,popular mahavihara ancient times significant buddhist seat academic excellence modest pilgrim center wrapped wisp spirituality nalanda continues equally enriching location present offers vibrant substance spirituality history culture,october to march,bihar,8,"['popular', 'mahavihara', 'ancient', 'times', 'significant', 'buddhist', 'seat', 'academic', 'excellence', 'modest', 'pilgrim', 'center', 'wrapped', 'wisp', 'spirituality', 'nalanda', 'continues', 'equally', 'enriching', 'location', 'present', 'offers', 'vibrant', 'substance', 'spirituality', 'history', 'culture']"
vaishali,3.0,located interiors bihar vaishali small district also revered hindu buddhist jain worshipping site city lord mahavir born considered first republic world vaishali believed named king vishal time,october to january,bihar,7,"['located', 'interiors', 'bihar', 'vaishali', 'small', 'district', 'also', 'revered', 'hindu', 'buddhist', 'jain', 'worshipping', 'site', 'city', 'lord', 'mahavir', 'born', 'considered', 'first', 'republic', 'world', 'vaishali', 'believed', 'named', 'king', 'vishal', 'time']"
rajgir,4.4,rajgir town air surrounds beautiful sceneries carries hints spirituality vibrant hues history links buddhism jainism,october to march,bihar,29,"['rajgir', 'town', 'air', 'surrounds', 'beautiful', 'sceneries', 'carries', 'hints', 'spirituality', 'vibrant', 'hues', 'history', 'links', 'buddhism', 'jainism']"
madhubani,4.2,ancient city madhubani bihar known richness art culture district strives mentioned ramayana city known world popular madhubani paintings whose origin lie,october to february,bihar,5,"['ancient', 'city', 'madhubani', 'bihar', 'known', 'richness', 'art', 'culture', 'district', 'strives', 'mentioned', 'ramayana', 'city', 'known', 'world', 'popular', 'madhubani', 'paintings', 'whose', 'origin', 'lie']"
sitamarhi,3.5,sitamarhi town district headquarters sitamarhi district bihar birthplace goddess sita wife lord ram punaura dham spot mata sita originated earthen pot located region bordered nepal north muzaffarpur south cham,october - march,bihar,,"['sitamarhi', 'town', 'district', 'headquarters', 'sitamarhi', 'district', 'bihar', 'birthplace', 'goddess', 'sita', 'wife', 'lord', 'ram', 'punaura', 'dham', 'spot', 'mata', 'sita', 'originated', 'earthen', 'pot', 'located', 'region', 'bordered', 'nepal', 'north', 'muzaffarpur', 'south', 'cham']"
valmiki national park,,located west champaran district valmiki national park situated india nepal border banks river gandak sprawling humongous area park divided two sections wildlife sanctuary declared year 1978 covers area 545 sq km national pa,,bihar,,"['located', 'west', 'champaran', 'district', 'valmiki', 'national', 'park', 'situated', 'india', 'nepal', 'border', 'banks', 'river', 'gandak', 'sprawling', 'humongous', 'area', 'park', 'divided', 'two', 'sections', 'wildlife', 'sanctuary', 'declared', 'year', '1978', 'covers', 'area', '545', 'sq', 'km', 'national', 'pa']"
bhagalpur,3.0,historically significant city bhagalpur lies southern banks river ganges bhagalpur also known silk city 3rd largest city bihar bhagalpur well known major educational centre apart commercial political centre city nu,november to mid march,bihar,8,"['historically', 'significant', 'city', 'bhagalpur', 'lies', 'southern', 'banks', 'river', 'ganges', 'bhagalpur', 'also', 'known', 'silk', 'city', '3rd', 'largest', 'city', 'bihar', 'bhagalpur', 'well', 'known', 'major', 'educational', 'centre', 'apart', 'commercial', 'political', 'centre', 'city', 'nu']"
pawapuri,3.6,pawapuri holy site jains situated nalanda district bihar state eastern india long time ago pawapuri twin capital mall mahajanpad mahajanpad later became part kingdom magadha ajatshatru devotee lord mahavira rule,,bihar,,"['pawapuri', 'holy', 'site', 'jains', 'situated', 'nalanda', 'district', 'bihar', 'state', 'eastern', 'india', 'long', 'time', 'ago', 'pawapuri', 'twin', 'capital', 'mall', 'mahajanpad', 'mahajanpad', 'later', 'became', 'part', 'kingdom', 'magadha', 'ajatshatru', 'devotee', 'lord', 'mahavira', 'rule']"
hajipur,3.6,hajipur one cities india connected past present smooth transition years though scarce scattered hajipur keeps coming back pages indian history time lord buddha rule islam british era way ot,,bihar,,"['hajipur', 'one', 'cities', 'india', 'connected', 'past', 'present', 'smooth', 'transition', 'years', 'though', 'scarce', 'scattered', 'hajipur', 'keeps', 'coming', 'back', 'pages', 'indian', 'history', 'time', 'lord', 'buddha', 'rule', 'islam', 'british', 'era', 'way', 'ot']"
muzaffarpur,4.0,litchi kingdom muzaffarpur located north bihar lying banks burhi gandak river along rivers bagmati lakhandayee muzaffarpur one major towns bihar administrative headquarter muzaffarpur district city hub education,october - march,bihar,9,"['litchi', 'kingdom', 'muzaffarpur', 'located', 'north', 'bihar', 'lying', 'banks', 'burhi', 'gandak', 'river', 'along', 'rivers', 'bagmati', 'lakhandayee', 'muzaffarpur', 'one', 'major', 'towns', 'bihar', 'administrative', 'headquarter', 'muzaffarpur', 'district', 'city', 'hub', 'education']"
lauriya nandangarh,3.5,lauriya nandangarh small town situated 28 km northwest bettiah famous beautifully erected ashokan pillar lauriya gets name pillar laur mauryan emperor ashoka sited nandangarh name bank located 2 km southwest ashoka pi,,bihar,,"['lauriya', 'nandangarh', 'small', 'town', 'situated', '28', 'km', 'northwest', 'bettiah', 'famous', 'beautifully', 'erected', 'ashokan', 'pillar', 'lauriya', 'gets', 'name', 'pillar', 'laur', 'mauryan', 'emperor', 'ashoka', 'sited', 'nandangarh', 'name', 'bank', 'located', '2', 'km', 'southwest', 'ashoka', 'pi']"
chhat puja,,ancient hindu festival dedicated lord surya chhathi maiya known wife surya chhath puja vedic festival dedicated sun god supposed source powers chhathi maiya another name goddess usha vedic period g,,bihar,,"['ancient', 'hindu', 'festival', 'dedicated', 'lord', 'surya', 'chhathi', 'maiya', 'known', 'wife', 'surya', 'chhath', 'puja', 'vedic', 'festival', 'dedicated', 'sun', 'god', 'supposed', 'source', 'powers', 'chhathi', 'maiya', 'another', 'name', 'goddess', 'usha', 'vedic', 'period', 'g']"
tomb of sher shah suri,,situated town sasaram state bihar india tomb sher shah suri stunning mausoleum dedicated memory emperor sher shah suri boasting indo islamic architecture tomb one popular tourist spots town also known ‘ se,,bihar,,"['situated', 'town', 'sasaram', 'state', 'bihar', 'india', 'tomb', 'sher', 'shah', 'suri', 'stunning', 'mausoleum', 'dedicated', 'memory', 'emperor', 'sher', 'shah', 'suri', 'boasting', 'indo', 'islamic', 'architecture', 'tomb', 'one', 'popular', 'tourist', 'spots', 'town', 'also', 'known', '‘', 'se']"
navlakha palace,,situated rajnagar eastern bank river kamla near madhubani district bihar navlakha palace also known rajnagar palace ancient royal palace popular heritage building region built maharaja rameshwar singh palace formerly boasted well paved garde,,bihar,,"['situated', 'rajnagar', 'eastern', 'bank', 'river', 'kamla', 'near', 'madhubani', 'district', 'bihar', 'navlakha', 'palace', 'also', 'known', 'rajnagar', 'palace', 'ancient', 'royal', 'palace', 'popular', 'heritage', 'building', 'region', 'built', 'maharaja', 'rameshwar', 'singh', 'palace', 'formerly', 'boasted', 'well', 'paved', 'garde']"
jal mandir,,located pawapuri state bihar jal mandir revered jain temple dedicated 24th tirthankara lord mahavir also known apapuri gorgeous white marble temple marks cremation spot lord mahavir sacred pilgrimage centre jainism gorgeous temple,,bihar,,"['located', 'pawapuri', 'state', 'bihar', 'jal', 'mandir', 'revered', 'jain', 'temple', 'dedicated', '24th', 'tirthankara', 'lord', 'mahavir', 'also', 'known', 'apapuri', 'gorgeous', 'white', 'marble', 'temple', 'marks', 'cremation', 'spot', 'lord', 'mahavir', 'sacred', 'pilgrimage', 'centre', 'jainism', 'gorgeous', 'temple']"
mundeshwari temple,,mundeshwari devi temple lies within kaimur district bihar ancient temple dedicated worshipping eternal duo shivaparvati considered one oldest temples india perhaps old 625 ce built stone temple architecture follows rare octa,,bihar,,"['mundeshwari', 'devi', 'temple', 'lies', 'within', 'kaimur', 'district', 'bihar', 'ancient', 'temple', 'dedicated', 'worshipping', 'eternal', 'duo', 'shivaparvati', 'considered', 'one', 'oldest', 'temples', 'india', 'perhaps', 'old', '625', 'ce', 'built', 'stone', 'temple', 'architecture', 'follows', 'rare', 'octa']"
barnawapara wildlife sanctuary,,one famous tourist attractions chhattisgarh barnawapara wildlife sanctuary home bar nawapura forest villages established year 1976 spread vast area 245 sq km rich lush vegetation caters broad spectrum wildlife,,chhattisgarh,,"['one', 'famous', 'tourist', 'attractions', 'chhattisgarh', 'barnawapara', 'wildlife', 'sanctuary', 'home', 'bar', 'nawapura', 'forest', 'villages', 'established', 'year', '1976', 'spread', 'vast', 'area', '245', 'sq', 'km', 'rich', 'lush', 'vegetation', 'caters', 'broad', 'spectrum', 'wildlife']"
raipur,4.4,capital chhattisgarh raipur largest city state hundreds steel mills six steel plants raipur also one largest industrial centres country besides steel also home aluminium coal industries primary business industri,november to february,chhattisgarh,20,"['capital', 'chhattisgarh', 'raipur', 'largest', 'city', 'state', 'hundreds', 'steel', 'mills', 'six', 'steel', 'plants', 'raipur', 'also', 'one', 'largest', 'industrial', 'centres', 'country', 'besides', 'steel', 'also', 'home', 'aluminium', 'coal', 'industries', 'primary', 'business', 'industri']"
jagdalpur,4.7,jagdalpur beautiful naturally bountiful city bastar district chhattisgarh one popular tourist destinations state raipur bhilai well connected state capital nearby cities relatively unknown among tourists outside,november to february,chhattisgarh,10,"['jagdalpur', 'beautiful', 'naturally', 'bountiful', 'city', 'bastar', 'district', 'chhattisgarh', 'one', 'popular', 'tourist', 'destinations', 'state', 'raipur', 'bhilai', 'well', 'connected', 'state', 'capital', 'nearby', 'cities', 'relatively', 'unknown', 'among', 'tourists', 'outside']"
charre marre waterfalls,,charre marre waterfalls refreshing offbeat place visit state chattisgarh tortuous waterfall 16 meters high clear water falling great height quite sight see bountiful pristine jogidhara river reason behind birth mes,,chhattisgarh,,"['charre', 'marre', 'waterfalls', 'refreshing', 'offbeat', 'place', 'visit', 'state', 'chattisgarh', 'tortuous', 'waterfall', '16', 'meters', 'high', 'clear', 'water', 'falling', 'great', 'height', 'quite', 'sight', 'see', 'bountiful', 'pristine', 'jogidhara', 'river', 'reason', 'behind', 'birth', 'mes']"
sirpur,,sirpur small village located state chhattisgarh situated banks river mahanadi 35 km away mahasamund district around 78 km away city raipur capital chhattisgarh village sirpur archaeological wonder inspiration,,chhattisgarh,,"['sirpur', 'small', 'village', 'located', 'state', 'chhattisgarh', 'situated', 'banks', 'river', 'mahanadi', '35', 'km', 'away', 'mahasamund', 'district', 'around', '78', 'km', 'away', 'city', 'raipur', 'capital', 'chhattisgarh', 'village', 'sirpur', 'archaeological', 'wonder', 'inspiration']"
mainpat,,mainpat underrated hill station green pastures deep valleys breathtaking waterfalls dense forests untouched rivulets hill station ’ completely commercialised yet receives relatively smaller influx tourists compared counterparts mainpat often calle,,chhattisgarh,,"['mainpat', 'underrated', 'hill', 'station', 'green', 'pastures', 'deep', 'valleys', 'breathtaking', 'waterfalls', 'dense', 'forests', 'untouched', 'rivulets', 'hill', 'station', '’', 'completely', 'commercialised', 'yet', 'receives', 'relatively', 'smaller', 'influx', 'tourists', 'compared', 'counterparts', 'mainpat', 'often', 'calle']"
madku dweep,,madku dweep beautiful island situated near silent river shivnath bilaspur district chhattisgarh name madku stems fact island shape frog beauty island considered spellbounding picturesque madku dweep,,chhattisgarh,,"['madku', 'dweep', 'beautiful', 'island', 'situated', 'near', 'silent', 'river', 'shivnath', 'bilaspur', 'district', 'chhattisgarh', 'name', 'madku', 'stems', 'fact', 'island', 'shape', 'frog', 'beauty', 'island', 'considered', 'spellbounding', 'picturesque', 'madku', 'dweep']"
dhamtari,3.0,home chalukya empire 14th century dhamtari important tourist town chattisgarh also known temples town population around 82000 attracts lot tourists every year particularly monsoon seasons ravishankar water damit also famo,october to march,chhattisgarh,4,"['home', 'chalukya', 'empire', '14th', 'century', 'dhamtari', 'important', 'tourist', 'town', 'chattisgarh', 'also', 'known', 'temples', 'town', 'population', 'around', '82000', 'attracts', 'lot', 'tourists', 'every', 'year', 'particularly', 'monsoon', 'seasons', 'ravishankar', 'water', 'damit', 'also', 'famo']"
bhilai,3.6,culturally profound city bhilai planned city situated durg district 25 km capital city raipur city mainly known bhilai steel plant sail one largest steel plants india city fascinating fusion people different religion languages giving,october to march,chhattisgarh,12,"['culturally', 'profound', 'city', 'bhilai', 'planned', 'city', 'situated', 'durg', 'district', '25', 'km', 'capital', 'city', 'raipur', 'city', 'mainly', 'known', 'bhilai', 'steel', 'plant', 'sail', 'one', 'largest', 'steel', 'plants', 'india', 'city', 'fascinating', 'fusion', 'people', 'different', 'religion', 'languages', 'giving']"
chitrakote falls,,broadest waterfall india chitrakote popularly known niagara india width situated west side jagdalpur bastar district chhattisgarh waterfall originates indravati river chitrakote falls height 30 metres,,chhattisgarh,,"['broadest', 'waterfall', 'india', 'chitrakote', 'popularly', 'known', 'niagara', 'india', 'width', 'situated', 'west', 'side', 'jagdalpur', 'bastar', 'district', 'chhattisgarh', 'waterfall', 'originates', 'indravati', 'river', 'chitrakote', 'falls', 'height', '30', 'metres']"
indravati national park,3.5,tiger reserve green state chhattisgarh indravati national park boasts wildlife population larger many others country among three royal tiger reserves state achanakmar undantisitandadi tiger reserves deriving name th,,chhattisgarh,,"['tiger', 'reserve', 'green', 'state', 'chhattisgarh', 'indravati', 'national', 'park', 'boasts', 'wildlife', 'population', 'larger', 'many', 'others', 'country', 'among', 'three', 'royal', 'tiger', 'reserves', 'state', 'achanakmar', 'undantisitandadi', 'tiger', 'reserves', 'deriving', 'name', 'th']"
chirmiri,,chirmiri beautiful hill station koriya district chhattisgarh chirimiri chirmiri referred ‘ jannatheaven chhattisgarh ’ lush greenery mountains rivers make perfect getaway destination anyone looking relax scenic town also known,,chhattisgarh,,"['chirmiri', 'beautiful', 'hill', 'station', 'koriya', 'district', 'chhattisgarh', 'chirimiri', 'chirmiri', 'referred', '‘', 'jannatheaven', 'chhattisgarh', '’', 'lush', 'greenery', 'mountains', 'rivers', 'make', 'perfect', 'getaway', 'destination', 'anyone', 'looking', 'relax', 'scenic', 'town', 'also', 'known']"
tirathgarh falls,,tirathgarh falls undoubtedly one frequented tourist spots chhattisgarh one spot provides culmination entertainment fun picnic adventure tirathgarh falls also regarded one bestknown picnic spots whole jagdalpur uniqu,,chhattisgarh,,"['tirathgarh', 'falls', 'undoubtedly', 'one', 'frequented', 'tourist', 'spots', 'chhattisgarh', 'one', 'spot', 'provides', 'culmination', 'entertainment', 'fun', 'picnic', 'adventure', 'tirathgarh', 'falls', 'also', 'regarded', 'one', 'bestknown', 'picnic', 'spots', 'whole', 'jagdalpur', 'uniqu']"
dantewada,5.0,dantewada recently came 1998 formation chattisgarh madhya pradesh situated bastar district quaint little town dantewada offers panoramic landscape view gushing rivers sparkling waterfalls mighty hill peaks lush green meadows historically,october to march,chhattisgarh,7,"['dantewada', 'recently', 'came', '1998', 'formation', 'chattisgarh', 'madhya', 'pradesh', 'situated', 'bastar', 'district', 'quaint', 'little', 'town', 'dantewada', 'offers', 'panoramic', 'landscape', 'view', 'gushing', 'rivers', 'sparkling', 'waterfalls', 'mighty', 'hill', 'peaks', 'lush', 'green', 'meadows', 'historically']"
ghatarani waterfalls,,ghatarani waterfalls favourite picnic spot located raipur district chhattisgarh also biggest waterfalls state set amongst thick vegetation lush greenery making sight spectacular witness water plunges natural pool visitors often take,,chhattisgarh,,"['ghatarani', 'waterfalls', 'favourite', 'picnic', 'spot', 'located', 'raipur', 'district', 'chhattisgarh', 'also', 'biggest', 'waterfalls', 'state', 'set', 'amongst', 'thick', 'vegetation', 'lush', 'greenery', 'making', 'sight', 'spectacular', 'witness', 'water', 'plunges', 'natural', 'pool', 'visitors', 'often', 'take']"
bhoramdeo temple,,bhoramdeo temple bears striking resemblance sun temple konark believed constructed 7th 12th century popularly known khajuraho chhattisgarh also resembles khajuraho temple madhya pradesh main temple among b,,chhattisgarh,,"['bhoramdeo', 'temple', 'bears', 'striking', 'resemblance', 'sun', 'temple', 'konark', 'believed', 'constructed', '7th', '12th', 'century', 'popularly', 'known', 'khajuraho', 'chhattisgarh', 'also', 'resembles', 'khajuraho', 'temple', 'madhya', 'pradesh', 'main', 'temple', 'among', 'b']"
malhar,,malhar chhattisgarh ’ historic town utmost archaeological prominence outstanding sculptures ancient charm bagged spot town ‘ ancient monuments archaeological sites remains national importance ’ list maintained archaeological su,,chhattisgarh,,"['malhar', 'chhattisgarh', '’', 'historic', 'town', 'utmost', 'archaeological', 'prominence', 'outstanding', 'sculptures', 'ancient', 'charm', 'bagged', 'spot', 'town', '‘', 'ancient', 'monuments', 'archaeological', 'sites', 'remains', 'national', 'importance', '’', 'list', 'maintained', 'archaeological', 'su']"
rajim,,rajim considered perfect place witness chhattisgarh ’ rich cultural heritage also known ‘ prayag ’ chhattisgarh rajim spot union three holy rivers mahanadi chitrotpala pairi sondur point meeting three rivers also referred ‘,,chhattisgarh,,"['rajim', 'considered', 'perfect', 'place', 'witness', 'chhattisgarh', '’', 'rich', 'cultural', 'heritage', 'also', 'known', '‘', 'prayag', '’', 'chhattisgarh', 'rajim', 'spot', 'union', 'three', 'holy', 'rivers', 'mahanadi', 'chitrotpala', 'pairi', 'sondur', 'point', 'meeting', 'three', 'rivers', 'also', 'referred', '‘']"
guru ghasidas (sanjay) national park,,guru ghasidas national park beautifully protected reserve stretched area 144071 sq kilometres park one unique national parks area must visit travelling state chhattisgarh located koriya district chhattisgarh,,chhattisgarh,,"['guru', 'ghasidas', 'national', 'park', 'beautifully', 'protected', 'reserve', 'stretched', 'area', '144071', 'sq', 'kilometres', 'park', 'one', 'unique', 'national', 'parks', 'area', 'must', 'visit', 'travelling', 'state', 'chhattisgarh', 'located', 'koriya', 'district', 'chhattisgarh']"
kanger ghati national park,,known one densest national parks india kanger ghati national park offers rich biodiversity breathtaking landscapes natural waterfalls beautiful limestone caves home state bird chhattisgarh hill myna park located jagdalpur bastar district chha,,chhattisgarh,,"['known', 'one', 'densest', 'national', 'parks', 'india', 'kanger', 'ghati', 'national', 'park', 'offers', 'rich', 'biodiversity', 'breathtaking', 'landscapes', 'natural', 'waterfalls', 'beautiful', 'limestone', 'caves', 'home', 'state', 'bird', 'chhattisgarh', 'hill', 'myna', 'park', 'located', 'jagdalpur', 'bastar', 'district', 'chha']"
purkhauti muktangan,,purkhauti muktangan developed tourism ministry chhattisgarh government naya raipur inaugurated former president india apj abdul kalam november 2006 openair art museum park displays artefacts habitats folk dances food hab,,chhattisgarh,,"['purkhauti', 'muktangan', 'developed', 'tourism', 'ministry', 'chhattisgarh', 'government', 'naya', 'raipur', 'inaugurated', 'former', 'president', 'india', 'apj', 'abdul', 'kalam', 'november', '2006', 'openair', 'art', 'museum', 'park', 'displays', 'artefacts', 'habitats', 'folk', 'dances', 'food', 'hab']"
achanakmar wildlife sanctuary,,achanakmar tiger reserve situated chattisgarh around 60 kms bilaspur categorised tropical deciduous forest achanakmar tiger reserve breathtakingly beautiful varied flora fauna tiger reserve part huge achanakmaramarkantak biosphere reserve,,chhattisgarh,,"['achanakmar', 'tiger', 'reserve', 'situated', 'chattisgarh', 'around', '60', 'kms', 'bilaspur', 'categorised', 'tropical', 'deciduous', 'forest', 'achanakmar', 'tiger', 'reserve', 'breathtakingly', 'beautiful', 'varied', 'flora', 'fauna', 'tiger', 'reserve', 'part', 'huge', 'achanakmaramarkantak', 'biosphere', 'reserve']"
calangute beach,4.4,calangute largest beach north goa stretching candolim baga hub tourists backpackers perfect place look accommodation known beach shacks water sports like parasailing water surfing banana ride jetskiing,,goa,,"['calangute', 'largest', 'beach', 'north', 'goa', 'stretching', 'candolim', 'baga', 'hub', 'tourists', 'backpackers', 'perfect', 'place', 'look', 'accommodation', 'known', 'beach', 'shacks', 'water', 'sports', 'like', 'parasailing', 'water', 'surfing', 'banana', 'ride', 'jetskiing']"
fort aguada,4.4,fort aguada 17thcentury portuguese fort looking confluence mandovi river arabian sea crumbling ramparts fort stand sinquerim beach highlight fort lone fourstorey lighthouse oneofitskind asia stunning view sunset,,goa,,"['fort', 'aguada', '17thcentury', 'portuguese', 'fort', 'looking', 'confluence', 'mandovi', 'river', 'arabian', 'sea', 'crumbling', 'ramparts', 'fort', 'stand', 'sinquerim', 'beach', 'highlight', 'fort', 'lone', 'fourstorey', 'lighthouse', 'oneofitskind', 'asia', 'stunning', 'view', 'sunset']"
cruise in goa,4.3,cruise goa allows one explore exotic scenery pristine waters marvel breathtaking view sunset several types cruises goa ranging simple evening cruises elaborate romantic dinner cruises backwater cruises casino cruises usually originate miramar beach panjim,,goa,,"['cruise', 'goa', 'allows', 'one', 'explore', 'exotic', 'scenery', 'pristine', 'waters', 'marvel', 'breathtaking', 'view', 'sunset', 'several', 'types', 'cruises', 'goa', 'ranging', 'simple', 'evening', 'cruises', 'elaborate', 'romantic', 'dinner', 'cruises', 'backwater', 'cruises', 'casino', 'cruises', 'usually', 'originate', 'miramar', 'beach', 'panjim']"
water sports in goa,4.4,goa water sports like kneeboarding kite surfing snorkelling parasailing paragliding diving kayaking water sports goa enjoyed one beaches north south also engage favorite activities number licensed water sports package operators,,goa,,"['goa', 'water', 'sports', 'like', 'kneeboarding', 'kite', 'surfing', 'snorkelling', 'parasailing', 'paragliding', 'diving', 'kayaking', 'water', 'sports', 'goa', 'enjoyed', 'one', 'beaches', 'north', 'south', 'also', 'engage', 'favorite', 'activities', 'number', 'licensed', 'water', 'sports', 'package', 'operators']"
dudhsagar falls,4.3,one indias tallest waterfalls dudhsagar falls located inside mollem national park dudhsagar falls visited monsoon full flow surrounding deciduous forests verdant best,,goa,,"['one', 'indias', 'tallest', 'waterfalls', 'dudhsagar', 'falls', 'located', 'inside', 'mollem', 'national', 'park', 'dudhsagar', 'falls', 'visited', 'monsoon', 'full', 'flow', 'surrounding', 'deciduous', 'forests', 'verdant', 'best']"
anjuna beach,4.4,anjuna beach among popular beaches north goa stretching almost 2km family outings adrenalinefilled adventures anjuna beach famed golden coastline nightclubs beach shacks watersports fullmoon parties flea markets,,goa,,"['anjuna', 'beach', 'among', 'popular', 'beaches', 'north', 'goa', 'stretching', 'almost', '2km', 'family', 'outings', 'adrenalinefilled', 'adventures', 'anjuna', 'beach', 'famed', 'golden', 'coastline', 'nightclubs', 'beach', 'shacks', 'watersports', 'fullmoon', 'parties', 'flea', 'markets']"
chapora fort,3.7,chapora fort undeniably one famous forts goa popularly known dil chahta hai fort claim fame 2001 bollywood blockbuster shot scintillating escape offers beautiful views sea chapora river,,goa,,"['chapora', 'fort', 'undeniably', 'one', 'famous', 'forts', 'goa', 'popularly', 'known', 'dil', 'chahta', 'hai', 'fort', 'claim', 'fame', '2001', 'bollywood', 'blockbuster', 'shot', 'scintillating', 'escape', 'offers', 'beautiful', 'views', 'sea', 'chapora', 'river']"
thalassa,,thalassa greek taverna one popular restaurants goa moved backwaters along siolim prior location vagator hilltop famous signature cocktails sunsets reverberating cultural flavour greece serves authentic greek mediterranean cuisine,,goa,,"['thalassa', 'greek', 'taverna', 'one', 'popular', 'restaurants', 'goa', 'moved', 'backwaters', 'along', 'siolim', 'prior', 'location', 'vagator', 'hilltop', 'famous', 'signature', 'cocktails', 'sunsets', 'reverberating', 'cultural', 'flavour', 'greece', 'serves', 'authentic', 'greek', 'mediterranean', 'cuisine']"
basilica of bom jesus,4.3,basilica bom jesus church unesco world heritage site houses tomb remains st francis xavier even 400 years remains good condition taken every decade,,goa,,"['basilica', 'bom', 'jesus', 'church', 'unesco', 'world', 'heritage', 'site', 'houses', 'tomb', 'remains', 'st', 'francis', 'xavier', 'even', '400', 'years', 'remains', 'good', 'condition', 'taken', 'every', 'decade']"
baga beach,4.5,one popular beaches north goa baga beach located close calangute beach around 30 km north panjim perfect destination witness dazzling nightlife goa signature places brittos titos mambos located vicinity also known vast range water sports,,goa,,"['one', 'popular', 'beaches', 'north', 'goa', 'baga', 'beach', 'located', 'close', 'calangute', 'beach', 'around', '30', 'km', 'north', 'panjim', 'perfect', 'destination', 'witness', 'dazzling', 'nightlife', 'goa', 'signature', 'places', 'brittos', 'titos', 'mambos', 'located', 'vicinity', 'also', 'known', 'vast', 'range', 'water', 'sports']"
butterfly beach,3.9,little south palolem canacona region goa lies butterfly beach beach also known honeymoon beach one secluded lesserknown beaches goa beach mostly accessible boat ferry ride nearby beaches,,goa,,"['little', 'south', 'palolem', 'canacona', 'region', 'goa', 'lies', 'butterfly', 'beach', 'beach', 'also', 'known', 'honeymoon', 'beach', 'one', 'secluded', 'lesserknown', 'beaches', 'goa', 'beach', 'mostly', 'accessible', 'boat', 'ferry', 'ride', 'nearby', 'beaches']"
divar island,,divar island slice heaven tucked away dense woods amidst beauty nature connected old goa ferry service island synonymous natural beauty serenity tranquillity,,goa,,"['divar', 'island', 'slice', 'heaven', 'tucked', 'away', 'dense', 'woods', 'amidst', 'beauty', 'nature', 'connected', 'old', 'goa', 'ferry', 'service', 'island', 'synonymous', 'natural', 'beauty', 'serenity', 'tranquillity']"
