visiting_places,visiting_places_rating,distance_from_city_center,cities_name,city_rating,city_type,city_visit_time,no_of_tourist_attration,states_name,state_categories,state_visit_time
riverside ruins,3.57,1.0,hampi,4.5,historical type,autumn_to_winter,31.0,karnataka,commercial_and_technological_state,winter
sasivekalu ganesh,3.57,1.0,hampi,4.5,historical type,autumn_to_winter,31.0,karnataka,commercial_and_technological_state,winter
shopping in hampi,3.0,0.0,hampi,4.5,historical type,autumn_to_winter,31.0,karnataka,commercial_and_technological_state,winter
om beach,4.4,1.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
mahabaleshwara temple,3.5,1.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
"paradise beach, gokarna",4.6,4.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
kudle beach,4.3,2.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
water sports in gokarna,4.2,2.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
gokarna beach,4.3,1.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
yana caves,3.8,27.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
half moon beach,4.5,3.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
mirjan fort,4.1,13.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
beach trekking,3.57,4.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
city shopping,3.0,1.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
namaste cafe,3.57,3.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
koti tirtha,3.2,1.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
maha ganapati temple,3.2,56.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
kumta,3.2,18.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
bhadrakali temple,3.2,1.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
sirsi,3.57,57.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
nirvana beach,3.57,17.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
small hell beach,3.57,1.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
belekan beach,3.57,1.0,gokarna,4.4,beach type,throughout_the_year,20.0,karnataka,commercial_and_technological_state,winter
st. mary's island,4.0,10.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
malpe beach,4.1,6.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
krishna temple,4.1,5.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
kaup beach,3.1,12.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
delta beach,3.57,32.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
jomlu teertha,3.57,26.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
manipal,3.1,5.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
pajaka,3.1,8.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
kudlu falls,3.57,42.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
chandramouleshwara temple,3.1,1.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
mookambika temple,3.57,60.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
anantheshwara temple,3.57,1.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
coin museum,3.57,1.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
pajaka kshetra,3.57,8.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
sri brahmi durgaparameshwari temple,3.57,46.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
anantha padmanabha temple,3.57,2.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
sri indrani panchadurga parameshwari temple,3.57,4.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
anejhari butterfly camp,3.57,56.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
kollur,3.57,59.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
shopping in udupi,3.0,1.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
someshwara wildlife sanctuary,3.57,39.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
hoode beach,3.57,12.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
sea walk malpe,3.57,6.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
varanga,3.57,24.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
mattu beach,3.57,8.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
kemmannu hanging bridge,3.57,7.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
padukere beach,3.57,21.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
manipal museum of anatomy and pathology,3.57,5.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
st. lawrence church,3.57,28.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
varanga jain temple,3.57,15.0,udupi,4.3,beach type,throughout_the_year,31.0,karnataka,commercial_and_technological_state,winter
baba budangiri,3.57,12.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
mullayanagiri,4.2,10.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
bhadra wildlife sanctuary,3.7,26.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
kudremukh national park,3.2,59.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
rafting in bhadra river,4.0,0.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
hebbe falls,3.57,26.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
bhadra dam,3.57,46.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
coffee museum,3.57,5.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
shopping in chikmagalur,3.0,1.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
kalhatti falls,3.57,28.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
hirekolale lake,3.57,8.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
z point,3.57,27.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
jhari waterfalls,3.57,13.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
kemmanagundi,3.5,27.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
manikyadhara falls,3.57,15.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
belavadi,3.57,25.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
inam dattatreya peetha,3.5,12.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
sringeri sharada peetham,3.57,57.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
ballalarayana durga fort,3.57,15.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
ghatikallu,3.57,44.0,chikmagalur,4.4,beach type,throughout_the_year,22.0,karnataka,commercial_and_technological_state,winter
murudeshwar temple,4.2,1.0,murudeshwar,4.4,beach type,autumn_to_summer,8.0,karnataka,commercial_and_technological_state,winter
netrani island,4.2,20.0,murudeshwar,4.4,beach type,autumn_to_summer,8.0,karnataka,commercial_and_technological_state,winter
murudeshwar beach,4.2,1.0,murudeshwar,4.4,beach type,autumn_to_summer,8.0,karnataka,commercial_and_technological_state,winter
murudeshwar fort,3.2,1.0,murudeshwar,4.4,beach type,autumn_to_summer,8.0,karnataka,commercial_and_technological_state,winter
statue park,3.2,1.0,murudeshwar,4.4,beach type,autumn_to_summer,8.0,karnataka,commercial_and_technological_state,winter
bhatkal beach,3.2,14.0,murudeshwar,4.4,beach type,autumn_to_summer,8.0,karnataka,commercial_and_technological_state,winter
shopping in murudeshwar,3.0,12.0,murudeshwar,4.4,beach type,autumn_to_summer,8.0,karnataka,commercial_and_technological_state,winter
"jamia masjid, murudeshwar",3.2,14.0,murudeshwar,4.4,beach type,autumn_to_summer,8.0,karnataka,commercial_and_technological_state,winter
lalbagh,4.3,8.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
church street,3.57,1.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
bannerghatta national park,4.3,23.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
bangalore palace,4.3,3.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
cubbon park,4.3,1.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
"iskcon temple, bangalore",3.8,6.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
wonderla amusement park,3.5,26.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
nandi hills,3.3,45.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
innovative film city,3.7,29.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
tipu sultan's summer palace,3.2,3.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
"national gallery of modern art, bangalore",4.1,2.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
commercial street,3.7,2.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
art of living international centre,3.0,19.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
vidhana soudha,3.8,1.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
jawaharlal nehru planetarium,3.8,2.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
visvesvaraya industrial and technological museum,3.0,0.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
ulsoor lake,3.8,3.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
"shiva temple, bangalore",3.2,7.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
ub city mall,4.3,0.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
"mg road, bangalore",4.5,2.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
st. mary's basilica bangalore,3.7,2.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
indian music experience,4.0,9.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
chunchi falls,3.7,71.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
"fun world, bangalore",3.57,4.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
hal aerospace museum,3.7,10.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
"go-karting, bangalore",3.7,17.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
muthyala maduvu (pearl valley),3.57,33.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
bull temple,3.8,4.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
sankey tank,3.0,5.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
devanahalli fort,3.0,33.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
maha bodhi society temple,3.2,2.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
cycling,3.2,3.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
bangalore aquarium,3.7,1.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
ragigudda anjaneya temple,3.0,6.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
venkatappa art gallery,3.0,0.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
halasuru someshwara temple,3.0,3.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
snow city,3.57,4.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
big banyan tree,3.0,23.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
indira gandhi musical fountain park,3.0,2.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
siddara betta,3.57,82.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
quad biking,3.57,45.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
bilikal rangaswamy betta,3.57,47.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
avalabetta,3.57,68.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
manchanabele dam,3.57,30.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
skandagiri,3.57,51.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
bananthimari betta,3.57,51.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
doddamakali,3.57,84.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
devarayanadurga,3.57,61.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
kanakapura,3.57,51.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
ranga shankara,3.57,7.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
"smaaash, bangalore",3.57,3.0,bangalore,4.1,metropolitan type,throughout_the_year,104.0,karnataka,commercial_and_technological_state,winter
river rafting in dandeli,4.0,2.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
kali tiger reserve,4.1,2.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
magod falls,3.57,35.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
ulavi temple,3.57,30.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
kavala caves,3.1,20.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
syntheri rock,3.57,22.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
supa dam,3.57,9.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
sathodi falls,3.57,35.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
kulgi nature camp,3.1,11.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
shiroli peak,3.1,52.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
sykes point,3.57,20.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
moulangi falls,3.57,2.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
anshi national park,3.57,40.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
shivaji fort,3.57,2.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
kayaking,3.57,15.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
sri mallikarjuna temple,3.57,1.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
dandelappa temple,3.57,2.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
jenukallu gudda sunset point,3.57,17.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
mini tibet,3.57,15.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
kavadi kere,3.57,38.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
sri tulaja bhavani temple,3.57,21.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
anshi national park,3.57,15.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
kodasalli backwaters,3.57,35.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
buy bamboo souvenirs,3.0,2.0,dandeli,4.2,nature type,autumn_to_summer,25.0,karnataka,commercial_and_technological_state,winter
"jungle safari, kabini",3.5,46.0,kabini,4.0,nature type,throughout_the_year,5.0,karnataka,commercial_and_technological_state,winter
boating in kabini,3.5,29.0,kabini,4.0,nature type,throughout_the_year,5.0,karnataka,commercial_and_technological_state,winter
nagarhole national park,3.1,6.0,kabini,4.0,nature type,throughout_the_year,5.0,karnataka,commercial_and_technological_state,winter
kabini dam,3.1,28.0,kabini,4.0,nature type,throughout_the_year,5.0,karnataka,commercial_and_technological_state,winter
nature walk,3.57,19.0,kabini,4.0,nature type,throughout_the_year,5.0,karnataka,commercial_and_technological_state,winter
kudremukh trek,4.3,9.0,kudremukh,4.6,nature type,autumn_to_summer,10.0,karnataka,commercial_and_technological_state,winter
kudremukh national park,4.3,0.0,kudremukh,4.6,nature type,autumn_to_summer,10.0,karnataka,commercial_and_technological_state,winter
hanuman gundi falls,3.5,18.0,kudremukh,4.6,nature type,autumn_to_summer,10.0,karnataka,commercial_and_technological_state,winter
kalasa,4.2,8.0,kudremukh,4.6,nature type,autumn_to_summer,10.0,karnataka,commercial_and_technological_state,winter
gangamoola,3.2,15.0,kudremukh,4.6,nature type,autumn_to_summer,10.0,karnataka,commercial_and_technological_state,winter
janta market,3.2,9.0,kudremukh,4.6,nature type,autumn_to_summer,10.0,karnataka,commercial_and_technological_state,winter
lakya dam,3.2,9.0,kudremukh,4.6,nature type,autumn_to_summer,10.0,karnataka,commercial_and_technological_state,winter
shopping in kudremukh,3.0,9.0,kudremukh,4.6,nature type,autumn_to_summer,10.0,karnataka,commercial_and_technological_state,winter
horanadu,3.2,17.0,kudremukh,4.6,nature type,autumn_to_summer,10.0,karnataka,commercial_and_technological_state,winter
kadambi falls,3.57,9.0,kudremukh,4.6,nature type,autumn_to_summer,10.0,karnataka,commercial_and_technological_state,winter
"virupaksha temple, pattadakal",3.5,0.0,pattadakal,4.4,spiritual type,autumn_to_winter,8.0,karnataka,commercial_and_technological_state,winter
kashiviswanatha temple,3.2,0.0,pattadakal,4.4,spiritual type,autumn_to_winter,8.0,karnataka,commercial_and_technological_state,winter
jain temple,3.2,0.0,pattadakal,4.4,spiritual type,autumn_to_winter,8.0,karnataka,commercial_and_technological_state,winter
sangameshwara temple,3.2,0.0,pattadakal,4.4,spiritual type,autumn_to_winter,8.0,karnataka,commercial_and_technological_state,winter
papanatha temple,3.1,0.0,pattadakal,4.4,spiritual type,autumn_to_winter,8.0,karnataka,commercial_and_technological_state,winter
galaganatha temple,3.2,115.0,pattadakal,4.4,spiritual type,autumn_to_winter,8.0,karnataka,commercial_and_technological_state,winter
"mallikarjuna temple, pattadakal",3.2,0.0,pattadakal,4.4,spiritual type,autumn_to_winter,8.0,karnataka,commercial_and_technological_state,winter
tagore beach,3.4,4.0,devbagh,4.0,nature type,autumn_to_summer,11.0,karnataka,commercial_and_technological_state,winter
scuba diving and snorkeling,3.4,20.0,devbagh,4.0,nature type,autumn_to_summer,11.0,karnataka,commercial_and_technological_state,winter
sadashivgad fort,3.5,2.0,devbagh,4.0,nature type,autumn_to_summer,11.0,karnataka,commercial_and_technological_state,winter
shopping in devbagh,3.0,5.0,devbagh,4.0,nature type,autumn_to_summer,11.0,karnataka,commercial_and_technological_state,winter
shejjeswar temple,3.1,7.0,devbagh,4.0,nature type,autumn_to_summer,11.0,karnataka,commercial_and_technological_state,winter
kurumgad island,3.1,2.0,devbagh,4.0,nature type,autumn_to_summer,11.0,karnataka,commercial_and_technological_state,winter
karwar port,3.1,4.0,devbagh,4.0,nature type,autumn_to_summer,11.0,karnataka,commercial_and_technological_state,winter
narasimha temple,3.1,12.0,devbagh,4.0,nature type,autumn_to_summer,11.0,karnataka,commercial_and_technological_state,winter
guddalli peak,3.1,9.0,devbagh,4.0,nature type,autumn_to_summer,11.0,karnataka,commercial_and_technological_state,winter
fishing in devbagh,3.1,5.0,devbagh,4.0,nature type,autumn_to_summer,11.0,karnataka,commercial_and_technological_state,winter
kurumgad island,3.4,5.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
sadashivgad fort,3.1,4.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
devbagh beach,4.1,4.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
majali beach,3.4,6.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
guddalli peak,3.57,15.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
oyster rock lighthouse,3.1,8.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
kali river bridge,3.57,3.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
shopping in karwar,3.0,1.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
kot shiveshwar,3.1,1.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
"durga temple, karwar",3.1,10.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
dargah of peer shan shamsuddin kharobat,3.1,4.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
karwar aquarium,3.57,0.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
venkataramana temple,3.1,4.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
nagnath temple,3.1,2.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
koodi bagh beach,3.1,3.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
warship museum,3.57,0.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
narasimha temple,3.1,11.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
tilmati beach,3.57,11.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
anashi waterfall,3.57,28.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
"maruti temple, karwar",3.57,1.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
binaga beach,2.8,2.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
sajjeshwara temple,3.57,3.0,karwar,4.2,hilly type,autumn_to_summer,22.0,karnataka,commercial_and_technological_state,winter
gol gumbaz,4.3,2.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
ibrahim rauza,3.5,1.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
jamia masjid,3.2,58.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
the citadel,3.2,1.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
shopping in bijapur,3.0,1.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
mithari and asar mahals,3.2,1.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
bijapur fort,3.57,0.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
bara kaman,3.57,1.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
gagan mahal,3.57,0.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
mehtar mahal,3.57,15.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
saath kabar,3.57,15.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
sangeeth nari mahal,3.57,6.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
malik-e-maidan,3.57,1.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
upli burj,3.57,1.0,bijapur,4.5,historical type,autumn_to_winter,14.0,karnataka,commercial_and_technological_state,winter
panambur beach,4.3,6.0,mangalore,4.3,historical type,throughout_the_year,28.0,karnataka,commercial_and_technological_state,winter
st aloysius chapel,3.57,5.0,mangalore,4.3,historical type,throughout_the_year,28.0,karnataka,commercial_and_technological_state,winter
