visit_places,rating,city_names,visit_place_summary
17. Stupa of Sariputra,,"1 km  from city center 
 
 17 out of 29 Places To Visit in Rajgir","The Stupa of Sariputra contains the bones of one of the two chief disciples of Gautam Buddha. Sariputra became a celebrated Arhat after he was able to attain salvation following Buddha's footsteps. The stupa is of a pyramidal shape and is imposing in size, surrounded by pillared structures, typical to Buddhist structures. Seven layers of construction explain its colossal size, making it a sight to behold."
18. Ghora Katora Lake,,"8 km  from city center 
 
 18 out of 29 Places To Visit in Rajgir","The Ghora Katora Lake, located off-road in Rajgir derives its name, which means a ¥horse bowl' from its own shape which is like a horse. This location is an excellent picnic spot and is known for being one of the cleanest sight-seeing locations in Rajgir. Very much loved by the locals, the lake is located at the same place where it is believed that Jarasandha from Mahabharata had his stable."
19. Ajatshatru Fort,,"3 km  from city center 
 
 19 out of 29 Places To Visit in Rajgir","Ajatshatru was a king and the ruler of the Magadha's in 6th Century B.C when he built this grand fort. According to the legend of history, Ajatshatru imprisoned his father Bimbisar in a jail inside this fort after he took the throne; and Bimbisara, a staunch Buddhist, chose a spot from where he could see Lord Buddha give his sermons every morning. The once sturdy and stable fort is now famous for being in ruins and hardly even resembling the magnificence that it once was."
20. Jivaka's Mango Garden,,"1 km  from city center 
 
 20 out of 29 Places To Visit in Rajgir","Jivaka's Mango Garden is located in the Jivakameavan Gardens inside Rajgir City. Jivaka was the Royal Physician of Bimbisara and Ajatashatru, the Magadha rulers; and he had his dispensary within this garden gifted to him by Bimbisara, and used the plants here to make Ayurvedic medicines and cure his patients. He was famous for being the one who treated Lord Buddha's wounds when Buddha came to him for treatment. The garden contains the ruins of an old monastery built by the doctor."
21. Swarna Bhandar,,"3 km  from city center 
 
 21 out of 29 Places To Visit in Rajgir","Swarna Bhandar, translating to ¥the treasure of gold', are two identical caverns cut out of monolithic rocks in the foothills of Vaibhar range. There is a legend about how the cave hides a secret door to a treasure trove of gold within the hills. There are seated and standing figures etched onto the walls of the rocks as well as inscriptions in the ancient text of Sanklipi, which say that the cave was used by Jain saint Muni Vairadevi and other ascetics as a refuge."
22. Pandu Pokhar,,"2 km  from city center 
 
 22 out of 29 Places To Visit in Rajgir","Pandu Pokhar is a nature-cum-amusement park which extends for a sprawling 22 acres across the foothills of the Rajhara hills in Rajgir. From lovely gardens with crisscrossing walkways, the tranquil lake for boating and meditation point to open air amphitheatre, bronze statues of King Pandu and arenas for kid's entertainment, Pandu Pokhar park brings recreation and spirituality together perfectly."
23. Jarasandha Ka Akhara,,"4 km  from city center 
 
 23 out of 29 Places To Visit in Rajgir","Jarasandha Ka Akhara, located near the Vaibhava Hill, was previously a wrestling arena and place for martial arts training for the armies which stood against Lord Krishna and the Yadava clan for King Jarasandha of Magadha. The great battle between Bheema and Jarasandha took place right here. The battle lasted for a month, according to legend, and in the end Bheem tore Jarasandha's body into half to defeat and kill him. Now a deserted ruins with overgrown flora, it is a favourite spot for picnickers."
24. Jarasandha's Baithak,,"1 km  from city center 
 
 24 out of 29 Places To Visit in Rajgir","Jarasandha's Baithak, located near Vaibhava Hill, is a rectangular stone at the foot which was used when Jarasandha of Mahabharata was the rule of Magadha. The locals believe that the place used to be an outpost of the military and had locations which were used as living quarters for the soldiers. The rock has two parallel cuts on it and it is famous, as the belief is that Lord Krishna made the cuts himself during the many battles between Jarasandha and Yadavas."
25. Shankhalipi Inscriptions,,"1 km  from city center 
 
 25 out of 29 Places To Visit in Rajgir","Two kilometres away from the jail of Bimbisar, the Sankhalipi Inscriptions are seen to be inscribed on the rocky terrain. Near the inscriptions are two parallel marks which are said to have been made by the wheels of Sri Krishna's Chariot. The inscriptions are of great cultural significance, as well as a tourist spot, as they provide a better insight into the society of the time during Mahabharata era."
26. Yesthivana,,"1 km  from city center 
 
 26 out of 29 Places To Visit in Rajgir","The Yesthivana area used to be a retreat of the forest, but now it has become a nature park where tourists can visit. The area is located near the Tapovana and is said to be the site of the place where Lord Gautam Buddha met the Magadha King, Bimbisar before the latter became a devotee. One of the major sights to see here is the 6 feet tall carved statue of Lord Gautam Buddha and the sapling of the Great Mahabodhi Tree under which Buddha attained enlightenment."
27. Griddhakuta Hills,,"4 km  from city center 
 
 27 out of 29 Places To Visit in Rajgir","The Griddhakuta Hill is one of the best sightseeing locations in Rajgir, with an uphill drive of 400 metres. Lord Gautam Buddha was said to have lived on the hill for a long time while preaching the Lotus, Heart and Prajnaparomita Sutras and the hill, resembling a perched eagle or vulture has recurring mention in the Pali Buddhist scripts. There is also a Peace Pagoda in this location called Vishwa Shanti Stupa. For travellers looking to get a better look at the scenery, they can take the aerial ropeway which will take you to the Pagoda."
28. Chariot Wheel Marks,,"5 km  from city center 
 
 28 out of 29 Places To Visit in Rajgir","The Chariot Wheel Marks are thirty feet long, deep marks on the rocks near the Jarasandha monuments. According to the local legends, these marks were made by Lord Krishna when he arrived in Rajgir. Other than the marks, around this area, there is an engraved script which is yet to be decrypted. The script was written at some time between 1 A.D. and 5 A.D, probably in a language unknown to historians now."
29. Makhdum Kund,,"2 km  from city center 
 
 29 out of 29 Places To Visit in Rajgir","Makhdum Kund is one of the locations in Rajgir which is popular among the Muslim devotees for religious and spiritual purposes. It is a Muslim shrine and also a hot spring near the Vipula Hills. The Hot Springs are named after the Muslim Saint Makhdum Saheb. According to local legends he spent twelve years in the jungles of Rajgir near this region during the 13th century. The hottest spring has a temperature of over 450 degrees Celcius. There are separate areas for men and women to bathe, where the temperature is fitting."
1. Kapileshwar sthan,,,
2. Saurath,,,
3. Nagar Fort,,,
4. Bhawanipur,,,
5. Uchaitha,,,
1. Visit the Sitamarhi Janaki Temple,,,
2. Explore Punaura Dham,,,
3. Witness the Ram-Janki Vivah Mela,,,
4. Discover Haleshwar Sthan:,,,
5. Visit the Baghi Math,,,
6. Attend Local Festivals,,,
1. Vikramshila,,1 out of 8 Places To Visit in Bhagalpur,"Known to be one of the most prominent Buddhist learning centres during the Pala Empire, Vikramshila was established as a measure when the quality of education at Nalanda started declining. Found by the Pala King Dharmapala sometime between the 8th and 9th century, Vikramshila was a part of the network of the five important learning centres of the era, and it was home to more than 100 teachers and 1000 students."
2. Vikramshila Gangetic Dolphin Sanctuary,,2 out of 8 Places To Visit in Bhagalpur,"Located in the Bhagalpur District of Bihar, Vikramshila Gangetic Dolphin Sanctuary is stretched over a span of 50 km of the river Ganges, starting from Sultangunj to Kahalgaon. The Sanctuary was established in the year 1991 to protect the endangered species of Gangetic Dolphins which were once found in abundance, but now only a few hundreds of them have survived."
3. Mandar Parvat,,3 out of 8 Places To Visit in Bhagalpur,"Mandara Parvat (Hill) is located about 48 km to the south of Bhagalpur city in Bihar. Mandara is a nearly 750 feet tall granite hill, and according to a mythological text, Bhagalpur was the place where Samudra Manthan took place, and the Devatas and the Asuras churned the ocean of milk using Mount Mandara to obtain Elixir. The Serpent King Vasuki is said to have offered himself to be used as a rope to churn the ocean of milk, and the faint impressions of a coil on the Mandara hill stand as a proof of this story. One of the Purana says that Lord Vishnu Defeated the demon Madhu and placed the hill which is now known as Mandara, over him. The conch shell, Panchajanya, which marked the start of the war of Mahabharata is believed to have been obtained from the Shankha Kunda. Kalidasa refers to Vishnu’s foot marks on Mount Mandara in his epic Kumarasambhava. The Hill happens to have numerous sculptures of Hindu Gods cut into its Rocks. A belief among the Jains depicts that the 12th Tirthankara, Vasupujya attained Nirvana at the peak of the same hill."
4. Kuppaghat Ashram,,4 out of 8 Places To Visit in Bhagalpur,"Kuppaghat is a place located by the banks of the holy river Ganges in Bhagalpur, Bihar. Kuppaghat translates to “cave by the banks of a river” and accordingly has a cave which is believed to have been used by Maharshi Mehi Paramhans as a place for meditation. Kuppaghat has been transformed in the later years as Maharshi Mehi Ashram and has grown to be a pilgrimage for the Followers of Santmat. Every year on the occasion of the Birth Anniversary of Maharshi Mehi, Maharshi Santsevi who was Mehi’s successor and on Guru Purnima, the Ashram is visited by many devotees. This dearness of the devotees made the Ashram as the National Headquarters of Akhila Bharatiya Santmat-Satsang. The Kuppaghat Ashram has a well-maintained garden and Orchard with sculptures and paintings of scenes depicting Lord Rama’s visit to Shabari and also of Jatayu’s death in the hands of Ravana along with spiritual quotes."
5. Ajgaivinath Temple,,5 out of 8 Places To Visit in Bhagalpur,"Ajgaivinath Temple, located in Sultanganj, is one of the most famous Hindu Temples dedicated to Lord Shiva. The Idol in the main temple of Ajgaibnath is believed to be Swayambhu (Self-manifester). The temple has been associated with Muni Jahnu, as a belief says that the Idol in the Ajgaivinath Temple protruded in Jahnu Muni’s ashram. There is a story which says that when Muni Jahnu was meditating in his ashram, the Ganges on her way to the ocean disturbed Jahnu with the ripples of her waves. Muni Jahnu is believed to have swallowed the whole river, and Muni Bhagirath saved the Ganges by making an incision on Jahnu’s thighs to make way for the Ganges. Thus river Ganges received the name Jahnavi."
6. Budhanath Temple,,6 out of 8 Places To Visit in Bhagalpur,"Budhanath temple is one of the main attractions of around Bhagalpur, and it is located on the banks of Uttaravahini Ganga (The Northward flowing Ganges). Budhanath happens to be one of the oldest temples of the region and welcomes a great inflow of devotees throughout the year. Baba Budhanath is referred to in the Shiva Puranas as Bal Vridheshwarnath in the first of the eight segments. The Shiva Linga that resides in the temple is believed to have been self-manifested as it is not known about the birth of the Shivalinga."
7. Champapur Jain Temple,,7 out of 8 Places To Visit in Bhagalpur,"The Champapur Digambar Jain Mandir dedicated to Vasupujya, the 12th Tirthankara is located in Nathnagar of Bhagalpur city and happens to be an ancient and Historical Teerth Kshetra. It is believed that al the five Kalyanakas of Vasupujya Tirthankara took place in Champapur itself. Champapur is said to have been the capital of the Anga Kingdom ruled by Karna, the sixth Pandava. The Main temple of Champapur is believed to be about 2500 years, adorned with five altars symbolising the Five Kalyanaka. There are two spectacular ‘Columns of Fame’ that have survived among the four that existed on each corner of the compound. The most recent addition to the sculptures is the 31 feet tall statue of Vasupujya that was built under the guidance of a Charitable trust based in Nagaland."
8. Khanqah e Shahbazia,,8 out of 8 Places To Visit in Bhagalpur,"Situated beside the Bhagalpur Railway Station, Khanqah e Shahbazia is a place visited by numerous people of all faiths every year. Khanqah e Shahbazia is a mosque, and a shrine of the Sufi Shahbaz Rahmattullah who is considered to be one of the 40 sacred Sufis sent to spread the message of Allah. The Mosque was built by Aurangzeb and was frequently visited by him. Every Thursday, visitors assemble at the place to be blessed. Most of the visitors are said to be from the eastern parts of India and Bangladesh. There is a belief that the water in a pond here has medicinal qualities that can cure illness and snake bites. Archeological Survey of India has discovered some ancient manuscripts from the Basement of Khanqah e Shahbazia."
1. Litchi Gardens,,1 out of 9 Places To Visit in Muzaffarpur,"Muzaffarpur is one of the leaders in the production of Lychee and is famous for its lychee gardens. The district of Muzaffarpur produces a combined 3 lakh tonnes of Lychee every year. One can get the taste of some delicious garden fresh Lychees here in May & June. This is the time when the Lychees are ripe and in perfect taste. The most sought-after destinations among the tourists are the Mushahari, Jhapaha and the Bochaha Gardens. It is recommended to visit the gardens during the cultivation which happens in May & June as the cultivation period has a festive vibe in the gardens."
2. Garib Sthan Mandir,,"2 km  from city center 
 
 2 out of 9 Places To Visit in Muzaffarpur","One of the centres of attraction of Muzaffarpur is Baba Garibnath Temple which resides in the heart of the city. The temple is home to the Shivling of Lord Shiva as Baba Gareebnath. Legend has it that the Shivaling was acquired from the Peepal Tree where the Temple now stands. The man who cut down the tree witnessed blood oozing out of the tree, revealing the Shivling which compelled him to build the shrine that now attracts a large number of devotees. Baba Gareebnath Temple is especially crowded during the holy month of Shravan."
3. Jubba Sahni Park,,"2 km  from city center 
 
 3 out of 9 Places To Visit in Muzaffarpur",Jubba Sahni Park is a children's park located in the Mithanpura area of Muzaffarpur. The Park was named after the freedom fighter Jubba Sahni as a tribute. It is nothing different than any other parks but is a favourite among the locals and tourists equally.
4. Khudiram Bose Memorial,,4 out of 9 Places To Visit in Muzaffarpur,Khudiram Bose Memorial was raised as a tribute to the 18-year-old Freedom Fighter Khudiram Bose. Bose was executed along with Prafool Chaki in 1908 for throwing a bomb at Kingsford who was at the time the British session judge of Muzaffarpur. This historical location is visited by numerous tourists who are fascinated by the story of the young fighter who was sent to martyrdom with a smile on his face.
5. Ramchandra Shahi Museum,,5 out of 9 Places To Visit in Muzaffarpur,"Ramchandra Shahi Museum is a must visit place for all the history buffs. The Museum was constructed in 1979 in the vicinity of Jubba Sahni Park and holds exhibits of ancient utensils, artifacts and intricate statues like the Manasa Nag and Ashtadikpal. Each article is a unique attraction to the visitors."
6. Devi Mandir,,6 out of 9 Places To Visit in Muzaffarpur,"The Devi Mandir in Muzaffarpur, Bihar, is considered a very holy temple, dedicated to Goddess Durga. The temple is one of the 51 Shaktipeeth, small shrines and big temples dedicated to Goddess Shakti in all her forms.  The temple is actually called Maa Raj Rajeshwari Mandir, which is the form of Durga with 18 hands."
7. Motijheel,,"0 km  from city center 
 
 7 out of 9 Places To Visit in Muzaffarpur","Motijheel is the main market of the city of Muzaffarpur, Bihar. You can find all kinds of things at this market, from clothes, shoes, accessories, books, jewellery, home products, street food and restaurants and whatnot, at very reasonable prices The market is called the heart of Muzaffarour."
8. The Grand Mall,,8 out of 9 Places To Visit in Muzaffarpur,"The Grand Mall is a large shopping mall located in Mohammadpur Kazi, Mithanpura, Muzaffarpur. The mall consists of shops and novelty stores dedicated to fashion, accessories, beauty and household products. It has a state of the art theatre, with 3D facilities."
9. Vaishali Bakery,,"31 km  from city center 
 
 9 out of 9 Places To Visit in Muzaffarpur","This is a large confectionery and restaurant franchise in Muzaffarpur, with cafes and bakeries of the same name. It is located on Chakkar Chowk in Muzaffarpur. One can get freshly baked bread, pastries, fast food, handmade cookies and savoury snacks at very reasonable prices, with almost everything under ₹150."
1. Ghatarani Waterfalls,,1 out of 20 Places To Visit in Raipur,"Located 85 km from the city of Raipur is Ghatarani Waterfalls, the largest in the state of Chattisgarh. Surrounded by lush greenery, this breathtaking sight is a popular picnic spot. A small trek through a forest would lead you to this beautiful natural beauty. At the bottom of the waterfall lies a naturally formed pool. Enjoy a swim, play with your fam, or unwind in the pool. Although the waterfall's beauty enriches in the rainy season – when the water is in full flow – it is best to avoid going during this time because of slippery terrains and mudslides."
2. Nandan Van Zoo & Safari,,2 out of 20 Places To Visit in Raipur,"Nandan Van Zoo, located at Naya Raipur, is one of the famous places of visit in the city. With its primary objective to protect and conserve animals, the zoo has many species of fauna. There are jungle safari and boating rides and is a perfect spot to spend the day with kids. It is fascinating to watch the animals wander around the jungle, and it also gives an exposure to many species which are not very popular and on the verge of extinction. Also, the facilities provided by the zoo are comfortable and affordable."
3. Purkhauti Muktangan,,"19 km  from city center 
 
 3 out of 20 Places To Visit in Raipur","Keep your gadgets away and spend a day at Purkhauti Muktangan, a delightful garden reflecting the rich culture of Chhattisgarh. The Hon’ble A.P.J Abdul Kalam inaugurated the place in November 2006. Since then, this garden is a place that attracts tourists and locals alike. Folk art, life-like tribal figures, vibrant sceneries add on to the beautiful experience. Not only is the garden eye-catching to visitors, but it also spreads cultural awareness about preserving our bio-cultural diversity."
4. Swami Vivekanand Sarovar,,4 out of 20 Places To Visit in Raipur,"Swami Vivekanand Sarovar is also called Burha Thalab which means old lake. Fenced by a number of trees, especially palm trees, it is a tranquil place to visit. There are several food stalls just outside the park that provide cheap and good quality street food. Apart from that, the lake is a popular picnic spot and a joggers paradise. The best time to visit the lake is in the evening, just before sunset."
5. Gandhi Udyan Park,,"5 km  from city center 
 
 5 out of 20 Places To Visit in Raipur","Gandhi Udyan Park is located in the heart of the Raipur city which extends till the famous Bhagat Singh Chowk. With a lot of natural vegetation spread over the park, the walking area is neatly tiled. There is also a playground where yoga classes are held early in the morning. With a walking area of about 400 meters, it is an excellent place for a morning or evening walk."
6. MM Fun City,,"20 km  from city center 
 
 6 out of 20 Places To Visit in Raipur","MM Fun City is a one-stop destination for everyone who is looking to soak themselves in unlimited fun and entertainment. Located in the outskirts of the capital city, it is Chhattisgarh’s largest water amusement park. The park has been set up in a tranquil and serene environment, away from the city’s busy life. It is a hit among its visitors, providing them with fun water slides, family pool, wave pool, rain dance, a restaurant and even an exclusive kids zone. It is famous for its exciting rides, modern features and excellent service."
7. Mahant Ghasi Memorial Museum,,7 out of 20 Places To Visit in Raipur,"Located near the Kutchery Chowk intersection, Mahant Ghasi Memorial Museum is small but packed with rich history of Raipur city. This well- maintained museum boasts an impressive collection of tribal artefacts, inscriptions, coins, carvings, models, and other things related to anthropology and natural history. There are five galleries spread on two floors and a vast library that you won't be able to miss. Head over to an open-air restaurant located at the ground floor of the museum to experiment with cheap but good tribal food. You get to learn a lot about Raipur's past, its culture and how it went on to become the big city it is in the present times. Entry fee to the museum is INR 5."
8. Banjari Mata Mandir,,8 out of 20 Places To Visit in Raipur,"The shrines of Banjara Mata Temple are, without a doubt, its speciality. Devoted to Goddess Banjari Mata, this sacred place is famous for hosting events during the Dussehra and Navratri festivals. Many devotees from neighbouring states and across the country flock to breathe in the pleasant and sacred aura. One can feel the calmness lingering in the air. The temple is open all days of the week and can be visited between 6:00 AM to 7:30 PM. The temple's exquisiteness and authenticity is the reason why thousands visit the place to seek blessings."
9. Champaran,,9 out of 20 Places To Visit in Raipur,"Champaran was previously known as Champajhar. This village is of religious as well as historical significance as it is regarded to be the birthplace of the Sant Mahaprabhu Vallabhacharya, the founder, pioneer and reformer of the Vallabh Sect. It is thus, a popular Vaishnava Peeth. Champaran is home to two temples that are dedicated to Shri Mahaprabhuji - the Prakatya Baithakji Mandir and Mool Prakatya (more commonly known as Chatti Baithak) and also holds an annual festival."
10. Jatmai Temple,,10 out of 20 Places To Visit in Raipur,"Located in Gariaband, about 85 km from the city of Raipur, Jatmai temple is situated amidst lush greenery. The temple, devoted to Mata Jatmai is constructed with granite and has beautiful murals at its entrance. The holy place is lit up and decorated with great enthusiasm during the festivals of Navratri. It is a place which has such peaceful vibes and positivity."
11. City Center Mall,,11 out of 20 Places To Visit in Raipur,"The City Center Mall in Raipur combines entertainment and business. You can find brands like Woodland, Adidas, Lee Cooper, Wrangler, and more to shop from. After going on a shopping spree, head over to the large food court area to grab a quick bite or a multi-course meal. What next? The mall also has a multiplex with five screens where you can enjoy the latest films with your friends and family."
12. Shahid Veer Narayan Singh International Cricket Stadium,,"21 km  from city center 
 
 12 out of 20 Places To Visit in Raipur","Shahid Veer Narayan Singh International Cricket Stadium, located in Raipur, at a distance of 21 kilometres from the heart of the city, is the fourth-largest cricket stadium in the world. The stadium, known for hosting IPL (Indian Premier League) matches and Ranji Trophy matches, acts as a platform of international importance, with a capacity of accommodating approximately 65000 excited fans."
13. Kevalya Dham Jain Temple,,13 out of 20 Places To Visit in Raipur,"Spread over a large area in the outskirts of the city, Kevalya Dham has several temples within the premise dedicated to Jainism. The structure is made up entirely of marbles and is an architectural beauty. Away from the hustle bustle of city life, the temple brings peace and joy to mind the moment you step inside the place. With large open spaces and serene gardens, the temples are equally liked by kids who want to frolic around."
14. Rajiv Lochan Mandir,,14 out of 20 Places To Visit in Raipur,"Popular for its magnificent architecture and rich heritage, Rajiv Lochan Mandir is a temple dedicated to Lord Vishnu. Located in Rajim – 1-hour car ride away from Raipur – the temple's edifice rests on 12 columns with aesthetic stone carvings around them. The best time to visit this holy sight is from 16th February to 1st March, when the sacred Rajim Lochan Mahotsav is hosted."
15. ISKCON Raipur - Sri Radha Rasbihari Temple,,15 out of 20 Places To Visit in Raipur,"ISKCON (International Society for Krishna Consciousness) has famous temples all over the country, and the one in Raipur city is a recent addition, with ongoing construction. Temporarily, the idols have been shifted to another temple while the main building is still being made. Nonetheless, the elegance of the temple can still be witnessed. The white marble reflects pureness and looks even better with decorative lights at the night time."
16. Shadani Darbar,,16 out of 20 Places To Visit in Raipur,"Located on Dhantari road, 9 kms from Raipur, Shadani Darbar is a massive pilgrimage space spread over 12 acres. Named after Sri Shadaramji Saheb, the place has a massive hall with Dhuni Saheb's idol, and many other gods and goddesses are engraved all over the place. The devotees perform Dukh Bhanjan Dhuni every day. Besides, there are beautiful musical fountains and statues. Other attractions include musical fountains with religious idols and statues."
17. Solar Energy Park,,17 out of 20 Places To Visit in Raipur,Energy Park is also called as Urja Park is an energy education park whose primary objective is to create awareness and perpetuate the habit of energy saving. It is fun-based theme park where the kids can learn while they play. The park has a garden of trees giving exposure to many kinds of fauna all of which are maintained neatly.
18. Town Hall,,18 out of 20 Places To Visit in Raipur,"Chowk in Raipur is the Town Hall which is a government office as well as a tourist site. The place brims with rich history. It houses information about all kinds of dynasties and kings that once ruled the city of Raipur. Tourists visit here majorly due to the rich and well-known history of the building. Constructed in the year 1889 and inaugurated in 1890, the town hall also witnessed and survived the struggle of independence. It has been renovated once. Earlier known as the Victoria Jubilee Hall, the Town Hall was constructed from stones transported from Raipur Fort in 1887. The place was renovated lately by the Nagar-Nigam and has regained its old splendour. It is also one of the historical pride of Raipur and serves as a well-visited tourist destination."
19. Mahamaya Temple,,19 out of 20 Places To Visit in Raipur,"In addition to devotees, the 900-year-old Mahamaya Temple also attracts historians and archaeologists due to its rich history and architecture. With home to several gods and goddesses including Mahakali, Bhadrakali, Lord Shiva, Lord Hanuman, Lord Bhairav, and more, this holy sight is undoubtedly one of the most celebrated in the state of Chattisgarh. 18 inch thick walls surround the temple, and 16 thick stone columns support the temple's structure. It indeed showcases mastery in architecture. According to historians, the temple was built by King Ratnadev in the 11th century."
20. Kankali Talab,,20 out of 20 Places To Visit in Raipur,"Legendary sages, including the Goswami Naga sages belonging to the Dashnami Sanyasi sect, are believed to spend time near the Kankali pond. They meditated and prayed to the divine deity. Hence, they also decided to build a small temple dedicated to Lord Shiva in the middle of the pond. There are stones arranged on the sides of the pond which enhances the temple's antiquity. Even in the present times, sages can be seen meditating peacefully near the pond."
1. Chitrakote Falls,,1 out of 10 Places To Visit in Jagdalpur,"The broadest waterfall in India, Chitrakote is popularly known as the Niagara of India, because of its width. Situated in the west side of Jagdalpur in the Bastar District of Chhattisgarh, this waterfall originates from the Indravati river. Chitrakote Falls is at the height of about 30 metres with a width of 985 feet, and during monsoons, you can watch the falls at its full glory. The fall cascades from the top of the cliff in 3 streams during summers."
2. Tirathgarh waterfall,,2 out of 10 Places To Visit in Jagdalpur,"With an approximate height of 300 feet, the Tirathgarh waterfall is located in the Kanger Valley National Park. A white cascade, this is one of Jagdalpur’s important attractions. The falls is also well known as ‘The Milky Falls’ due to its appearance. Tirathgarh waterfall drops down to form a pool at the bottom which is perfect for swimming, paddle boating and bathing. Best enjoyed during the monsoon season when the water gushes down at a fast pace, Tirathgarh is also tranquil and beautiful rest of the year. The bank of the pool has a small shrine of Lord Shiva where locals pray. Around 400 mossy steps will lead you to this bathing pool of the falls, surrounded by dense forests. Be it summer, winter or monsoon, be it, locals or tourists, Tirathgarh is a perfect picnic spot if you’re near Jagdalpur."
3. Dalpat Sagar,,3 out of 10 Places To Visit in Jagdalpur,"The biggest artificial lake of Chhattisgarh, Dalpat Sagar is a 400-year-old lake built primarily to harvest rainwater, now also being used mainly for fishing and tourism. There is an artificial island built in the middle of the lake for tourists to enjoy picnics; it has a light tower, a musical fountain and even a temple surrounded by the pristine nature. The government has also started boating facilities for tourists so that one can soak in the gorgeous sunsets. Spread over an area of 350 hectares, this lake was built by Raja Dalpat Deo Kakatiya so that the collected rainwater could be used for different purposes like irrigation, washing and drinking. The surroundings of the lake have some rare and beautiful flora and fauna too. Dalpat Sagar can be visited at any time of the year. It's a perfect picnic spot if you're in Jagdalpur."
4. Kanger Valley National Park,,4 out of 10 Places To Visit in Jagdalpur,"Established in 1982, the Kanger Valley National Park derived its name from the Kanger river. Being so rich in biodiversity, it was declared as an Asian Biosphere Reserve and is a haven for every nature lover. With fauna like the tiger, barking deer, bear, hyena, jackal, bear, black buck, langoor, wolf and many reptiles among others, and flora like algae and fungi, this national park is a small forest in itself. Home to some of the most glorious waterfalls, caves and ponds of Chhattisgarh, the Kanger park makes for great day trips from Jagdalpur. The 35-kilometre long park is the most popular attraction of Bastar. You can enjoy family or friends picnics here in any month of the year. During monsoons, the waterfalls can be seen gushing heavily, during the winters, you can walk through the second longest natural cave in the world and during summers, you can take a dip at the many ponds formed below the waterfalls and get refreshed."
5. Kutumsar Caves,,5 out of 10 Places To Visit in Jagdalpur,"Located near Tirathgarh falls, the Kailash and Kutumsar caves are underground caves situated 35 meters below ground level. With a length of two kilometres, these are considered to be the second longest natural caves in the world. With incredible formations of stalactites and stalagmites, the caves contain five chambers. There is one stalagmite formation in the shape of a shivalinga towards the end of the cave. The Kailash and Kutumsar are only accessible until a certain extent because of the lack of oxygen. This natural cave surrounded by the dense Kanger National Park is a sight to behold."
6. Danteshwari Temple,,6 out of 10 Places To Visit in Jagdalpur,"As the name suggests, this is a temple dedicated to Goddess Danteshwari, the deity of earlier Kakatiya rulers, also known as an incarnation of Shakti. Built in the 14th century, the temple was constructed in a typical South Indian style architecture. Chiselled out of black stone, the idol of the Goddess is supposed to possess divine powers. Every year during Dusshera, all the tribals and locals from surrounding towns and villages come to this temple to pay respect to the Goddess. Situated in the middle of a spacious courtyard with beautiful pillars, the temple has four parts that a visitor can explore. An important spiritual centre, the temple is known to represent the cultural and religious beliefs and history of the Bastar region.  Every year during Dusshera several people gather in the Temple to offer homage to the idol of the goddess. The temple has a great architecture and sculptural wealth, making it one of the best spiritual centres in the state of Chhattisgarh. Devotees from different parts of the country visit here to imbibe the blessings of goddess Danteshwari."
7. Venkateshwara Swamy Temple,,7 out of 10 Places To Visit in Jagdalpur,"Popularly known as the Balaji temple, the members of Andhra Association have established the Venkateshwara Swamy temple. Dedicated to Lord Balaji or Shri Venkateshwara Swamy, the lord of the universe, this temple was built by the efforts of many devotees who wished to pray to the lord easily and closer to their home. Every day locals and tourists can be seen paying homage to the sacred shrine of the lord. The temple architecture is a typical South Indian style and is very impressive. Initially a famous pilgrimage destination for only locals, today this temple attracts visitors and Hindu pilgrims from all over."
8. Anthropological Museum,,8 out of 10 Places To Visit in Jagdalpur,"The Zonal Anthropological museum was established in Jagdalpur in 1972, to provide an insight into the culture and lifestyle of the Bastar tribe. The museum has a brilliant and well-curated collection of ethnographic items that shed light on the life of Bastar tribes. Artworks depicting their daily life, sculptures, a variety of objects like clothes, footwear, headgear, ornaments, wood carvings, weapons, utensils and masks among many others can be seen here. It is an excellent window to gain an understanding of the lifestyle of ‘Adivasis’ of Bastar. Whether or not you’re a history buff, this museum is sure to raise your curiosity into the life and culture of tribals."
9. Bastar Palace,,9 out of 10 Places To Visit in Jagdalpur,"Dating back to prehistoric times, the Bastar palace used to be the chief administrative building of the Bastar district. Constructed by the kings of Bastar, this palace is a famous tourist destination today. Home to some of the most beautiful figurines, etchings and drawings on the ceilings and walls, tourists are known to be transported back to prehistoric times when kings lived here, administrating the entire district. With wide corridors and a beautiful garden in the front, the palace makes for a perfect day trip from Jagdalpur. There are many artefacts like ornaments, weapons and clothes turning the palace into a kind of museum for visitors to gain more in-depth knowledge. Make the saying ‘Live like a king’ come true by visiting here for a day and live like a king."
10. Chitradhara Falls,,10 out of 10 Places To Visit in Jagdalpur,"One of the most beautiful picnic spots for the locals and tourists around Jagdalpur, the Chitradhara fall is like a gorgeous white cascade of water gushing down the hill. Situated in the small and remote village of Potanar, the Chitradhara fall takes the form of a horseshoe. The water here is seen to be gushing down at a breakneck and exciting pace, making it an excellent spot for outdoor and adventure lovers looking for an adrenaline rush. Not as glorious and big like the Chitrakote falls, Chitradhara is less popular and gives the tourist an experience of a remote village, being surrounded by serenity. A perfect family picnic spot, the Chitradhara waterfall sees locals and tourists flocking here for day trips."
1. Sihava,,,
2. Bilai Mata Mandir,,,
3. Gangrel Dam,,,
4. Rudri,,,
