visit_places,rating,city_names,visit_place_summary,distance_from_city_center,tokenized_summary
manas national park,4.1,guwahati,tiger reserve assam also famous rare golden langur red panda manas one bestkept national parks india also famous population wild water buffalo,89,"['tiger', 'reserve', 'assam', 'also', 'famous', 'rare', 'golden', 'langur', 'red', 'panda', 'manas', 'one', 'bestkept', 'national', 'parks', 'india', 'also', 'famous', 'population', 'wild', 'water', 'buffalo']"
shrimanta shankardeva kalakshetra,,guwahati,named poetplaywright reformer medieval times srimanta sankardev srimanta sankardev kalakshetra cultural institution panjabari guwahati aim promote culture art tradition assam complex museum library art gallery children ’ park,9,"['named', 'poetplaywright', 'reformer', 'medieval', 'times', 'srimanta', 'sankardev', 'srimanta', 'sankardev', 'kalakshetra', 'cultural', 'institution', 'panjabari', 'guwahati', 'aim', 'promote', 'culture', 'art', 'tradition', 'assam', 'complex', 'museum', 'library', 'art', 'gallery', 'children', '’', 'park']"
indira gandhi athletic stadium,,guwahati,inaugurated 2007 indira gandhi athletic stadium located southern edge guwahati lokhra also known sarusajai stadium stadium originally boasted 30000 seats however tournament director 2017 fifa u17 world cup sought improvements construction installed bucket seats reduced capacity 28500 seats,4,"['inaugurated', '2007', 'indira', 'gandhi', 'athletic', 'stadium', 'located', 'southern', 'edge', 'guwahati', 'lokhra', 'also', 'known', 'sarusajai', 'stadium', 'stadium', 'originally', 'boasted', '30000', 'seats', 'however', 'tournament', 'director', '2017', 'fifa', 'u17', 'world', 'cup', 'sought', 'improvements', 'construction', 'installed', 'bucket', 'seats', 'reduced', 'capacity', '28500', 'seats']"
sukreshwar temple,,guwahati,perched sukreshwar itakhuli hill southbank brahmaputra river sukreshwar temple dedicated hindu god shiva built 1744 ahom king pramatta singha temple improvised financial changes made 1759 rajeswar singha,5,"['perched', 'sukreshwar', 'itakhuli', 'hill', 'southbank', 'brahmaputra', 'river', 'sukreshwar', 'temple', 'dedicated', 'hindu', 'god', 'shiva', 'built', '1744', 'ahom', 'king', 'pramatta', 'singha', 'temple', 'improvised', 'financial', 'changes', 'made', '1759', 'rajeswar', 'singha']"
ugra tara temple,,guwahati,based heart guwahati city lotaxil locality ugra tara temple enshrines deity tara devi built 1725 ahom ruler siva singh important shakti temple thronged tourists devotees alike,5,"['based', 'heart', 'guwahati', 'city', 'lotaxil', 'locality', 'ugra', 'tara', 'temple', 'enshrines', 'deity', 'tara', 'devi', 'built', '1725', 'ahom', 'ruler', 'siva', 'singh', 'important', 'shakti', 'temple', 'thronged', 'tourists', 'devotees', 'alike']"
saraighat bridge,,guwahati,built brahmaputra river guwahati saraighat bridge first railwaycumroad bridge construction bridge started 1958 first inaugurated goods trucks 1962 prime minister pandit jawaharlal nehru,9,"['built', 'brahmaputra', 'river', 'guwahati', 'saraighat', 'bridge', 'first', 'railwaycumroad', 'bridge', 'construction', 'bridge', 'started', '1958', 'first', 'inaugurated', 'goods', 'trucks', '1962', 'prime', 'minister', 'pandit', 'jawaharlal', 'nehru']"
janardana temple,,guwahati,perched hillock shukleshwar shukleshwar ghats brahmaputra river guwahati janardana temple dedicated lord vishnu set amidst beautiful backdrop brahmaputra river lush green valleys guwahati shrine mesmerising spot sight behold,5,"['perched', 'hillock', 'shukleshwar', 'shukleshwar', 'ghats', 'brahmaputra', 'river', 'guwahati', 'janardana', 'temple', 'dedicated', 'lord', 'vishnu', 'set', 'amidst', 'beautiful', 'backdrop', 'brahmaputra', 'river', 'lush', 'green', 'valleys', 'guwahati', 'shrine', 'mesmerising', 'spot', 'sight', 'behold']"
shraddhanjali kanan,,guwahati,shraddhanjali kanan situated tarun nagar guwahati park wellmaintained lawns ideal yoga meditation purposes separate play area kids besides charming flower beds water fountains make place even beautiful,5,"['shraddhanjali', 'kanan', 'situated', 'tarun', 'nagar', 'guwahati', 'park', 'wellmaintained', 'lawns', 'ideal', 'yoga', 'meditation', 'purposes', 'separate', 'play', 'area', 'kids', 'besides', 'charming', 'flower', 'beds', 'water', 'fountains', 'make', 'place', 'even', 'beautiful']"
ambubachi mela,,guwahati,ambubachi mela grand gathering around maa kamakhya devi temple occurring month asaadh traditional hindu calendar ambubachi mela fourday celebration often falls june primarily festival aimed honouring fertile richness mother earth idea celebrated annual menstrual cycle kamakhya devi kamakhya temple four days,4,"['ambubachi', 'mela', 'grand', 'gathering', 'around', 'maa', 'kamakhya', 'devi', 'temple', 'occurring', 'month', 'asaadh', 'traditional', 'hindu', 'calendar', 'ambubachi', 'mela', 'fourday', 'celebration', 'often', 'falls', 'june', 'primarily', 'festival', 'aimed', 'honouring', 'fertile', 'richness', 'mother', 'earth', 'idea', 'celebrated', 'annual', 'menstrual', 'cycle', 'kamakhya', 'devi', 'kamakhya', 'temple', 'four', 'days']"
cafe hendrix,,guwahati,cafe hendrix one popular cafes guwahati boasting pleasant ambiance even better food enjoy live performances gigs cafe groove neon dance floors particularly known jazz bar cafe attracts large crowd especially weekends visiting cosy hippie cafe one best things guwahati,6,"['cafe', 'hendrix', 'one', 'popular', 'cafes', 'guwahati', 'boasting', 'pleasant', 'ambiance', 'even', 'better', 'food', 'enjoy', 'live', 'performances', 'gigs', 'cafe', 'groove', 'neon', 'dance', 'floors', 'particularly', 'known', 'jazz', 'bar', 'cafe', 'attracts', 'large', 'crowd', 'especially', 'weekends', 'visiting', 'cosy', 'hippie', 'cafe', 'one', 'best', 'things', 'guwahati']"
madan kamdev,,guwahati,located distance 40 kms guwahati madan kamdev temple archaeological find baihata chariali assam spread area 500 metres find idols sculptures madan kamdev scattered place idols detailed architecture carvings perched atop hill one fascinating attractions guwahati,19,"['located', 'distance', '40', 'kms', 'guwahati', 'madan', 'kamdev', 'temple', 'archaeological', 'find', 'baihata', 'chariali', 'assam', 'spread', 'area', '500', 'metres', 'find', 'idols', 'sculptures', 'madan', 'kamdev', 'scattered', 'place', 'idols', 'detailed', 'architecture', 'carvings', 'perched', 'atop', 'hill', 'one', 'fascinating', 'attractions', 'guwahati']"
pandu,3.2,guwahati,suburban town pandu named king pandu father famous five pandavas tila hills town temple dedicated pandu pandunath temple,5,"['suburban', 'town', 'pandu', 'named', 'king', 'pandu', 'father', 'famous', 'five', 'pandavas', 'tila', 'hills', 'town', 'temple', 'dedicated', 'pandu', 'pandunath', 'temple']"
rafting in bramhaputra (tuting),3.5,dibrugarh,lifetime expedition country ’ northeast one world ’ longest river brahmaputra rafting remote area breath taking experience,,"['lifetime', 'expedition', 'country', '’', 'northeast', 'one', 'world', '’', 'longest', 'river', 'brahmaputra', 'rafting', 'remote', 'area', 'breath', 'taking', 'experience']"
dinjoy satra,3.1,dibrugarh,tourist spot dinjoy satra situated around 5 km towards north chabua township satra found aniruddha dev bisnubalikakunshi village towards north lakhimpur later shifted khutiaputa,26,"['tourist', 'spot', 'dinjoy', 'satra', 'situated', 'around', '5', 'km', 'towards', 'north', 'chabua', 'township', 'satra', 'found', 'aniruddha', 'dev', 'bisnubalikakunshi', 'village', 'towards', 'north', 'lakhimpur', 'later', 'shifted', 'khutiaputa']"
shopping in dibrugarh,3.0,dibrugarh,chamba shopping scene popular handicrafts reallyindemand chappals pickles heres find,1,"['chamba', 'shopping', 'scene', 'popular', 'handicrafts', 'reallyindemand', 'chappals', 'pickles', 'heres', 'find']"
dehing namti satra,3.0,dibrugarh,tourist destination located banks disang river sasoni mouza around 8 miles naharkatiya town currently main branch satra located namti nazira,0,"['tourist', 'destination', 'located', 'banks', 'disang', 'river', 'sasoni', 'mouza', 'around', '8', 'miles', 'naharkatiya', 'town', 'currently', 'main', 'branch', 'satra', 'located', 'namti', 'nazira']"
raidongia dol,3.0,dibrugarh,among monuments dibrugarh raidongia dol one famous one located larua mouza kalakhowa region near dihingia barbarua road raidongia doll height 45 ft magnificent structure,,"['among', 'monuments', 'dibrugarh', 'raidongia', 'dol', 'one', 'famous', 'one', 'located', 'larua', 'mouza', 'kalakhowa', 'region', 'near', 'dihingia', 'barbarua', 'road', 'raidongia', 'doll', 'height', '45', 'ft', 'magnificent', 'structure']"
barbarua maidam,3.0,dibrugarh,maidam ancient burial mound royalty aristocracy consists two ancient graveyards said devoted high ranked officials two area devoted dead soldiers,2,"['maidam', 'ancient', 'burial', 'mound', 'royalty', 'aristocracy', 'consists', 'two', 'ancient', 'graveyards', 'said', 'devoted', 'high', 'ranked', 'officials', 'two', 'area', 'devoted', 'dead', 'soldiers']"
bahikhowa maidam,3.0,dibrugarh,rule rajeswar singha bahikhowa dasarath dowerah borphukan chief army staff ahoms borphukan maidam dedicated located khowang tea estate presently ruins,,"['rule', 'rajeswar', 'singha', 'bahikhowa', 'dasarath', 'dowerah', 'borphukan', 'chief', 'army', 'staff', 'ahoms', 'borphukan', 'maidam', 'dedicated', 'located', 'khowang', 'tea', 'estate', 'presently', 'ruins']"
lekai chetia maidam,3.0,dibrugarh,lekai chetia maidam located near mankota road sessa presently known thaan means religious institution big maidam site towards north known lekai,3,"['lekai', 'chetia', 'maidam', 'located', 'near', 'mankota', 'road', 'sessa', 'presently', 'known', 'thaan', 'means', 'religious', 'institution', 'big', 'maidam', 'site', 'towards', 'north', 'known', 'lekai']"
sarumechlow and bormechow maidam,3.0,dibrugarh,two maidams graveyards two queens king sukhampha khura belonging ahom regime bormechow sarumechlow graves royalty region,0,"['two', 'maidams', 'graveyards', 'two', 'queens', 'king', 'sukhampha', 'khura', 'belonging', 'ahom', 'regime', 'bormechow', 'sarumechlow', 'graves', 'royalty', 'region']"
tea gardens,,dibrugarh,assam popular resplendent tea gardens spanning acres acres land dibrugarh definitely take tour one boasting scintillating greenery watch tea pickers work gain insight tea making process also taste premium quality tea take back,,"['assam', 'popular', 'resplendent', 'tea', 'gardens', 'spanning', 'acres', 'acres', 'land', 'dibrugarh', 'definitely', 'take', 'tour', 'one', 'boasting', 'scintillating', 'greenery', 'watch', 'tea', 'pickers', 'work', 'gain', 'insight', 'tea', 'making', 'process', 'also', 'taste', 'premium', 'quality', 'tea', 'take', 'back']"
majuli,3.4,jorhat,majuli beautiful island located river brahmaputra close jorhat island biggest river island world attracts tourists world,27,"['majuli', 'beautiful', 'island', 'located', 'river', 'brahmaputra', 'close', 'jorhat', 'island', 'biggest', 'river', 'island', 'world', 'attracts', 'tourists', 'world']"
hoollongapar gibbon wildlife sanctuary,3.5,jorhat,located around 20 km main town isolated wildlife sanctuary famous hoolock gibbon population surrounded brahmaputra river one side tea gardens everywhere else good enclosure 40 species hoolock gibbons reside,15,"['located', 'around', '20', 'km', 'main', 'town', 'isolated', 'wildlife', 'sanctuary', 'famous', 'hoolock', 'gibbon', 'population', 'surrounded', 'brahmaputra', 'river', 'one', 'side', 'tea', 'gardens', 'everywhere', 'else', 'good', 'enclosure', '40', 'species', 'hoolock', 'gibbons', 'reside']"
dhekiakhowa bor namghar,3.1,jorhat,established saint reformer madhabdev year 1461 famous assamese temple 4km main city saint reformer started centre preaching vaishnavism large complex wherein various cultural social programmes held,14,"['established', 'saint', 'reformer', 'madhabdev', 'year', '1461', 'famous', 'assamese', 'temple', '4km', 'main', 'city', 'saint', 'reformer', 'started', 'centre', 'preaching', 'vaishnavism', 'large', 'complex', 'wherein', 'various', 'cultural', 'social', 'programmes', 'held']"
nimati ghat,3.2,jorhat,one important ports state nimati ghat serves link ferry boats operate river port majuli island kamalabari auniati,10,"['one', 'important', 'ports', 'state', 'nimati', 'ghat', 'serves', 'link', 'ferry', 'boats', 'operate', 'river', 'port', 'majuli', 'island', 'kamalabari', 'auniati']"
raja maidam,3.1,jorhat,located north jorhat beautiful raja maidam vault preserves ashes erstwhile king purandar sinha maidam constructed death 1st october 1894 pretty park,1,"['located', 'north', 'jorhat', 'beautiful', 'raja', 'maidam', 'vault', 'preserves', 'ashes', 'erstwhile', 'king', 'purandar', 'sinha', 'maidam', 'constructed', 'death', '1st', 'october', '1894', 'pretty', 'park']"
cinnamora tea estate,3.1,jorhat,maniram dewan sirastadar assistant commissioner established tea estate 1850 time worked british administration jorhat cinnamora tea estate first tea estate assam,6,"['maniram', 'dewan', 'sirastadar', 'assistant', 'commissioner', 'established', 'tea', 'estate', '1850', 'time', 'worked', 'british', 'administration', 'jorhat', 'cinnamora', 'tea', 'estate', 'first', 'tea', 'estate', 'assam']"
sukapha samannay kshetra,3.1,jorhat,sukapha samannay kshetra constructed memory sukapha first ahom king assam excavation undergoing hoping find remains ahom kingdom,16,"['sukapha', 'samannay', 'kshetra', 'constructed', 'memory', 'sukapha', 'first', 'ahom', 'king', 'assam', 'excavation', 'undergoing', 'hoping', 'find', 'remains', 'ahom', 'kingdom']"
ladai garh,3.1,jorhat,fortified structure nearly 15km jorhat constructed king pratap sinha protect kingdom neighbouring kingdoms garh comprises three parts mera garh majhuli,10,"['fortified', 'structure', 'nearly', '15km', 'jorhat', 'constructed', 'king', 'pratap', 'sinha', 'protect', 'kingdom', 'neighbouring', 'kingdoms', 'garh', 'comprises', 'three', 'parts', 'mera', 'garh', 'majhuli']"
burigosain devalay,3.1,jorhat,temple situated heart jorhat city burigosain presiding deity temple apart another deity priest deities brought jayantiya established first rangpur later idols shifted present location,1,"['temple', 'situated', 'heart', 'jorhat', 'city', 'burigosain', 'presiding', 'deity', 'temple', 'apart', 'another', 'deity', 'priest', 'deities', 'brought', 'jayantiya', 'established', 'first', 'rangpur', 'later', 'idols', 'shifted', 'present', 'location']"
bangalpukhari,,jorhat,bangalpukhari celebrated water tank located south jorhat city created 1739 water tank untouched people city due myth bring bad omens famous water reservoir located near naali even though used become quite popular tourist attraction jorhat,0,"['bangalpukhari', 'celebrated', 'water', 'tank', 'located', 'south', 'jorhat', 'city', 'created', '1739', 'water', 'tank', 'untouched', 'people', 'city', 'due', 'myth', 'bring', 'bad', 'omens', 'famous', 'water', 'reservoir', 'located', 'near', 'naali', 'even', 'though', 'used', 'become', 'quite', 'popular', 'tourist', 'attraction', 'jorhat']"
tocklai tea centre,,jorhat,tocklai team center also known tocklai tea research center tocklai experimental station tea research laboratory research institute sited near river tocklai jorhat assam established 1911 tea station marked one largest oldest tea stations world definitely mustvisit spot tealovers,3,"['tocklai', 'team', 'center', 'also', 'known', 'tocklai', 'tea', 'research', 'center', 'tocklai', 'experimental', 'station', 'tea', 'research', 'laboratory', 'research', 'institute', 'sited', 'near', 'river', 'tocklai', 'jorhat', 'assam', 'established', '1911', 'tea', 'station', 'marked', 'one', 'largest', 'oldest', 'tea', 'stations', 'world', 'definitely', 'mustvisit', 'spot', 'tealovers']"
thengal bhavan,,jorhat,official place first assamese newspaper released thengal bhawan become leading attraction jorhat built 1880 raibahadur siva prasad barooah first newspaper printed local language 1929 called assamese weekly attraction even though simplistic definitely goto spot anyone visits jorhat,0,"['official', 'place', 'first', 'assamese', 'newspaper', 'released', 'thengal', 'bhawan', 'become', 'leading', 'attraction', 'jorhat', 'built', '1880', 'raibahadur', 'siva', 'prasad', 'barooah', 'first', 'newspaper', 'printed', 'local', 'language', '1929', 'called', 'assamese', 'weekly', 'attraction', 'even', 'though', 'simplistic', 'definitely', 'goto', 'spot', 'anyone', 'visits', 'jorhat']"
hatibaruah namghar,,jorhat,holy place assamese community hatibaruah namghar temple main place worship natives word “ namghar ” literally translates prayer house highly precious ekasarana sect hinduism jorhat taking time visit temple great option,0,"['holy', 'place', 'assamese', 'community', 'hatibaruah', 'namghar', 'temple', 'main', 'place', 'worship', 'natives', 'word', '“', 'namghar', '”', 'literally', 'translates', 'prayer', 'house', 'highly', 'precious', 'ekasarana', 'sect', 'hinduism', 'jorhat', 'taking', 'time', 'visit', 'temple', 'great', 'option']"
gazpur,,jorhat,place initially created keep elephants ruins king place said asked soldiers bring around 1000 elephants captured order celebrate inauguration new city rule despite unfortunate history behind place attraction still worth visit,0,"['place', 'initially', 'created', 'keep', 'elephants', 'ruins', 'king', 'place', 'said', 'asked', 'soldiers', 'bring', 'around', '1000', 'elephants', 'captured', 'order', 'celebrate', 'inauguration', 'new', 'city', 'rule', 'despite', 'unfortunate', 'history', 'behind', 'place', 'attraction', 'still', 'worth', 'visit']"
magolu khat,,jorhat,historical site created king rajeshwar sinha magolus manipuris built got married manipuri princess kuranganayani attraction thus built symbol love king significant even though ruins today magolu khat definitely worth visit,,"['historical', 'site', 'created', 'king', 'rajeshwar', 'sinha', 'magolus', 'manipuris', 'built', 'got', 'married', 'manipuri', 'princess', 'kuranganayani', 'attraction', 'thus', 'built', 'symbol', 'love', 'king', 'significant', 'even', 'though', 'ruins', 'today', 'magolu', 'khat', 'definitely', 'worth', 'visit']"
molai forest,,jorhat,often referred “ oneman forest ” molaiforest famous forest majuli island jorhat assam named jadav payeng forestry worker environmental activist forest abandoned forestry division golaghat district 1983 jadav singlehandedly put 30 years effort making fullfledged 1360acre forest reserve also site number documentaries films,13,"['often', 'referred', '“', 'oneman', 'forest', '”', 'molaiforest', 'famous', 'forest', 'majuli', 'island', 'jorhat', 'assam', 'named', 'jadav', 'payeng', 'forestry', 'worker', 'environmental', 'activist', 'forest', 'abandoned', 'forestry', 'division', 'golaghat', 'district', '1983', 'jadav', 'singlehandedly', 'put', '30', 'years', 'effort', 'making', 'fullfledged', '1360acre', 'forest', 'reserve', 'also', 'site', 'number', 'documentaries', 'films']"
jorhat gymkhana club,,jorhat,built simons jorhat gymkhana club sports venue jorhat majorly focuses horseracing lawn tennis grass courts billiard swimming pools gentleman ’ bar cinema theatre polo club dates back british era built 1876 site governor ’ cup event every year served venue horse racing 140 years,1,"['built', 'simons', 'jorhat', 'gymkhana', 'club', 'sports', 'venue', 'jorhat', 'majorly', 'focuses', 'horseracing', 'lawn', 'tennis', 'grass', 'courts', 'billiard', 'swimming', 'pools', 'gentleman', '’', 'bar', 'cinema', 'theatre', 'polo', 'club', 'dates', 'back', 'british', 'era', 'built', '1876', 'site', 'governor', '’', 'cup', 'event', 'every', 'year', 'served', 'venue', 'horse', 'racing', '140', 'years']"
lachit borphukan’s maidam,,jorhat,lachit borphukan ’ maidam named famous ahom general lachit borphukan one interesting attractions jorhat maidam memorial stone constructed memory 16thcentury warrior city often recommended visit attraction order pay tribute great soul definitely worth visit,1,"['lachit', 'borphukan', '’', 'maidam', 'named', 'famous', 'ahom', 'general', 'lachit', 'borphukan', 'one', 'interesting', 'attractions', 'jorhat', 'maidam', 'memorial', 'stone', 'constructed', 'memory', '16thcentury', 'warrior', 'city', 'often', 'recommended', 'visit', 'attraction', 'order', 'pay', 'tribute', 'great', 'soul', 'definitely', 'worth', 'visit']"
nimati,,jorhat,nimati ghat nimati one essential ports assam entry point largest river island world majuli serves link ferries go auniata kamalabari ghat located near brahmaputra river significant local villages also upper assam,1,"['nimati', 'ghat', 'nimati', 'one', 'essential', 'ports', 'assam', 'entry', 'point', 'largest', 'river', 'island', 'world', 'majuli', 'serves', 'link', 'ferries', 'go', 'auniata', 'kamalabari', 'ghat', 'located', 'near', 'brahmaputra', 'river', 'significant', 'local', 'villages', 'also', 'upper', 'assam']"
kakochang waterfalls,,jorhat,located altitude 116 meters kakochang waterfalls one popular waterfalls assam also called kakojan situated unknown forests bokakhat remains historical numaligarh found site however waterfalls offer remarkable view visitors serve great picnic spot,1,"['located', 'altitude', '116', 'meters', 'kakochang', 'waterfalls', 'one', 'popular', 'waterfalls', 'assam', 'also', 'called', 'kakojan', 'situated', 'unknown', 'forests', 'bokakhat', 'remains', 'historical', 'numaligarh', 'found', 'site', 'however', 'waterfalls', 'offer', 'remarkable', 'view', 'visitors', 'serve', 'great', 'picnic', 'spot']"
dhekiakhowa bornamghar jorhat,,jorhat,dhekiakhowa bornamghar nambghar jorhat said built madhavdeva saintreformer ignited earthen lamp burning since 1528 till date kindled priests namghar called bornamghar due rich history large campus namghar spread across 13 bighas land site number social cultural religious activities jorhat,1,"['dhekiakhowa', 'bornamghar', 'nambghar', 'jorhat', 'said', 'built', 'madhavdeva', 'saintreformer', 'ignited', 'earthen', 'lamp', 'burning', 'since', '1528', 'till', 'date', 'kindled', 'priests', 'namghar', 'called', 'bornamghar', 'due', 'rich', 'history', 'large', 'campus', 'namghar', 'spread', 'across', '13', 'bighas', 'land', 'site', 'number', 'social', 'cultural', 'religious', 'activities', 'jorhat']"
hajo powa mecca,,,,nan,
hayagriva madhava temple,,,,nan,
kedareswar temple,,,,nan,
kamesware temple,,,,nan,
deva bhavana,,,,nan,
manas national park,,,,nan,
the barpeta satra,,,,nan,
sundariya satra,,,,nan,
dargah of syed shahnur dewan,,,,nan,
beki river,,,,nan,
the brahmaputra river,,,,nan,
dibru-saikhowa national park,3.4,tinsukia,national park located 13 km tinsukia brahmaputra lohit dibru rivers surrounding national park various animals including aquatic animals found national park including whitewinged wood ducks water buffaloes wild horses tigers capped langurs,20,"['national', 'park', 'located', '13', 'km', 'tinsukia', 'brahmaputra', 'lohit', 'dibru', 'rivers', 'surrounding', 'national', 'park', 'various', 'animals', 'including', 'aquatic', 'animals', 'found', 'national', 'park', 'including', 'whitewinged', 'wood', 'ducks', 'water', 'buffaloes', 'wild', 'horses', 'tigers', 'capped', 'langurs']"
bell temple,3.4,tinsukia,located 17km tinsukia bell temple major attraction town dedicated lord shiva also known tilinga temple tilinga stands bell huge banyan tree stands complex tied pretty bells devotees,11,"['located', '17km', 'tinsukia', 'bell', 'temple', 'major', 'attraction', 'town', 'dedicated', 'lord', 'shiva', 'also', 'known', 'tilinga', 'temple', 'tilinga', 'stands', 'bell', 'huge', 'banyan', 'tree', 'stands', 'complex', 'tied', 'pretty', 'bells', 'devotees']"
bherjan-borjan-padumoni wildlife sanctuary,3.0,tinsukia,6km tinsukia popular tourist attraction various species animals including species like hoolock gibbon stump tailed macaque capped langur common macaque slow loris found,4,"['6km', 'tinsukia', 'popular', 'tourist', 'attraction', 'various', 'species', 'animals', 'including', 'species', 'like', 'hoolock', 'gibbon', 'stump', 'tailed', 'macaque', 'capped', 'langur', 'common', 'macaque', 'slow', 'loris', 'found']"
na-pukhuri,3.0,tinsukia,napukhuri biggest attraction town group nine lakes periphery town historical monument built period king sarbananda singha,1,"['napukhuri', 'biggest', 'attraction', 'town', 'group', 'nine', 'lakes', 'periphery', 'town', 'historical', 'monument', 'built', 'period', 'king', 'sarbananda', 'singha']"
doomdooma,3.0,tinsukia,famous tea gardens another attraction tinsukia plantation known hindustan levers doomdooma tea gardens doomdooma reserve forest another place may visit,22,"['famous', 'tea', 'gardens', 'another', 'attraction', 'tinsukia', 'plantation', 'known', 'hindustan', 'levers', 'doomdooma', 'tea', 'gardens', 'doomdooma', 'reserve', 'forest', 'another', 'place', 'may', 'visit']"
lekhapani,3.0,tinsukia,starting point historic stilwell road situated patkai foothills assamarunachal pradesh border tangsa naga tribe main tribal community residing town,50,"['starting', 'point', 'historic', 'stilwell', 'road', 'situated', 'patkai', 'foothills', 'assamarunachal', 'pradesh', 'border', 'tangsa', 'naga', 'tribe', 'main', 'tribal', 'community', 'residing', 'town']"
sadiya,3.5,tinsukia,sadiyaa small village located himalayan foothills surrounded rivers three sides tinsukia assam one major tourist destinations state rich nature place lets one enjoy breathtaking landscapes peacefully rich culture aweinspiring past stunning locations remind one location lot keep one engaged long,49,"['sadiyaa', 'small', 'village', 'located', 'himalayan', 'foothills', 'surrounded', 'rivers', 'three', 'sides', 'tinsukia', 'assam', 'one', 'major', 'tourist', 'destinations', 'state', 'rich', 'nature', 'place', 'lets', 'one', 'enjoy', 'breathtaking', 'landscapes', 'peacefully', 'rich', 'culture', 'aweinspiring', 'past', 'stunning', 'locations', 'remind', 'one', 'location', 'lot', 'keep', 'one', 'engaged', 'long']"
dehing patkai wildlife sanctuary,3.0,tinsukia,wildlife park spans area 110 sq km home number beautiful rare birds whitewinged wood duck slenderbilled vulture whitebacked vulture many along various species animals great place visit,26,"['wildlife', 'park', 'spans', 'area', '110', 'sq', 'km', 'home', 'number', 'beautiful', 'rare', 'birds', 'whitewinged', 'wood', 'duck', 'slenderbilled', 'vulture', 'whitebacked', 'vulture', 'many', 'along', 'various', 'species', 'animals', 'great', 'place', 'visit']"
bardubi,3.0,tinsukia,scenic mesmerizing small village located 12 km tinsukia surrounded towering snow capped peaks,11,"['scenic', 'mesmerizing', 'small', 'village', 'located', '12', 'km', 'tinsukia', 'surrounded', 'towering', 'snow', 'capped', 'peaks']"
dighaltarang,3.0,tinsukia,small town located 15 km tinsukia well known tea plantations,15,"['small', 'town', 'located', '15', 'km', 'tinsukia', 'well', 'known', 'tea', 'plantations']"
digboi,3.5,tinsukia,referred oil city countrys first ever oil refinery established digboi one important cities state assam going history land existence dates back 18th century period oil first discovered beautiful local handicrafts wax dolls traditional textiles popular products city digboi oil refinery dibru saikhowa wildlife sanctuary golf course war cemetry famous destinations digboi however popular one margherita town located 14 kms away city famous lush tea gardens plywood factories,26,"['referred', 'oil', 'city', 'countrys', 'first', 'ever', 'oil', 'refinery', 'established', 'digboi', 'one', 'important', 'cities', 'state', 'assam', 'going', 'history', 'land', 'existence', 'dates', 'back', '18th', 'century', 'period', 'oil', 'first', 'discovered', 'beautiful', 'local', 'handicrafts', 'wax', 'dolls', 'traditional', 'textiles', 'popular', 'products', 'city', 'digboi', 'oil', 'refinery', 'dibru', 'saikhowa', 'wildlife', 'sanctuary', 'golf', 'course', 'war', 'cemetry', 'famous', 'destinations', 'digboi', 'however', 'popular', 'one', 'margherita', 'town', 'located', '14', 'kms', 'away', 'city', 'famous', 'lush', 'tea', 'gardens', 'plywood', 'factories']"
rangagora,3.0,tinsukia,yet another village near tinsukia 10 km away known tea plantations,2,"['yet', 'another', 'village', 'near', 'tinsukia', '10', 'km', 'away', 'known', 'tea', 'plantations']"
ledo,3.0,tinsukia,place 6 km margherita known indoburma highway highway 430 km long built world war ii,43,"['place', '6', 'km', 'margherita', 'known', 'indoburma', 'highway', 'highway', '430', 'km', 'long', 'built', 'world', 'war', 'ii']"
arboretum cum craft centre,,,,nan,
botanical gardens,,,,nan,
marat longri wildlife sanctuary,,,,nan,
district museum,,,,nan,
trek to singhason peak,,,,nan,
khaspur,3.3,silchar,located 20 km silchar find ruins great dimasa kingdom main attractions lion gate sun gate aged old kings temple,19,"['located', '20', 'km', 'silchar', 'find', 'ruins', 'great', 'dimasa', 'kingdom', 'main', 'attractions', 'lion', 'gate', 'sun', 'gate', 'aged', 'old', 'kings', 'temple']"
dolu lake,3.0,silchar,one beautiful lake silchar photographers delight lake peaceful spot spend quality time alone loved ones,11,"['one', 'beautiful', 'lake', 'silchar', 'photographers', 'delight', 'lake', 'peaceful', 'spot', 'spend', 'quality', 'time', 'alone', 'loved', 'ones']"
maniharan tunnel,3.0,silchar,maniharan tunnel kilometers silchar wonderful place tourists according hindus tunnel constructed days lord krishna used,3,"['maniharan', 'tunnel', 'kilometers', 'silchar', 'wonderful', 'place', 'tourists', 'according', 'hindus', 'tunnel', 'constructed', 'days', 'lord', 'krishna', 'used']"
badarpur fort,3.0,silchar,badarpur fort situated bank barak river important historic place barak valley fort 16 km away badarpur railway station,23,"['badarpur', 'fort', 'situated', 'bank', 'barak', 'river', 'important', 'historic', 'place', 'barak', 'valley', 'fort', '16', 'km', 'away', 'badarpur', 'railway', 'station']"
shopping in silchar,3.0,silchar,silchar known tea farming agricultural products,1,"['silchar', 'known', 'tea', 'farming', 'agricultural', 'products']"
bhubeneshwar temple (bhubanhill),3.0,silchar,one celebrated temple lord shiva entire south assam bhubaneswar temple situates distance 50 km silchar located top bhuvan hill,29,"['one', 'celebrated', 'temple', 'lord', 'shiva', 'entire', 'south', 'assam', 'bhubaneswar', 'temple', 'situates', 'distance', '50', 'km', 'silchar', 'located', 'top', 'bhuvan', 'hill']"
salganga,3.0,silchar,22 km away silchar way kumbhirgram airport vishnu temple salganga another tourist attraction,19,"['22', 'km', 'away', 'silchar', 'way', 'kumbhirgram', 'airport', 'vishnu', 'temple', 'salganga', 'another', 'tourist', 'attraction']"
