visit_places,rating,city_names,visit_place_summary
9. Tirumala Venkateshwara Temple,"3.5
 /5","53 km  from city center 
 
 9 out of 11 Places To Visit in Chittoor","Needless to say, this world renowned temple is a must visit on a trip to Chittoor. Located on the seventh peak, Venkatachala, of the Tirupati hill, this temple houses the most breathtaking idol of Lord Venkateshwara, and it is said that a look at the idol is sure to leave one spellbound."
10. Mango Market Yard - Bangarupalyam and Penumur Mandals and Damalcheruvu,"3.1
 /5","30 km  from city center 
 
 10 out of 11 Places To Visit in Chittoor","Known for its juicy, delectable mangoes, Chittoor offers around 58 varieties of the King of Fruits to its customers. The mangoes are grown in this region and are of export quality. Horde your bags with the mouth watering mangoes on your way back home"
11. Tada Falls,,"91 km  from city center 
 
 11 out of 11 Places To Visit in Chittoor","Also known as Ubbalamadugu Falls, Tada Falls is a mesmerising waterfall located in the dense woods of Siddulaiah Kona. The place is a top hit among adventure enthusiasts and nature seekers. The place also has a Shiva temple and Pulicat Lake nearby."
1. Vizianagaram,"3.4
 /5","0 km  from city center 
 
 1 out of 12 Places To Visit in Vizianagaram","The city of Vizianagaram is a place packed with the glory of the past and relics of ancient traditions and rituals in form of a majestic fort. The headquarters of the district, this place is also home to an ancient temple of Pydithalli Ammavaru."
2. Saripalli,"3.1
 /5","9 km  from city center 
 
 2 out of 12 Places To Visit in Vizianagaram",Saripalli is a small village situated on the banks of Champavathi River and lies in the Nellimarla mandal of District Vizianagaram. The village is mainly renowned for its beautiful temple of Dibbi Lingeswara Swami temple which is said to be built under the reign of Chalukyas.
3. Gosthani Sarovar Vihar,"3.1
 /5","23 km  from city center 
 
 3 out of 12 Places To Visit in Vizianagaram","Gosthani Sarovar Vihar is an ideal spot to relax and unwind situated near Vizianagaram city. Serving as a perfect picnic place, it is nestles at the Thatipudi Reservoir Project near the Thatipudi Village."
4. Kumili,"3.1
 /5","13 km  from city center 
 
 4 out of 12 Places To Visit in Vizianagaram","Kumili, situated about 20 km from Vizianagaram is a small quaint village which is famous for its bunch of beautiful temple all clustered in a complex."
5. Raamateertham,"3.1
 /5","13 km  from city center 
 
 5 out of 12 Places To Visit in Vizianagaram","Raamateertham is a place located nearly 13 km away from Vizianagaram on the Bavikonda Hill. It is renowned as a site adorned with a 1000 year old Lord Rama Temple, established during the 16th century under the reign of Pashupati kings."
6. Bobbili,"3.6
 /5","52 km  from city center 
 
 6 out of 12 Places To Visit in Vizianagaram","Bobbili is an ancient town marked with the reflection of courage, bravery and heroism, and is home to a majestic Bobbili Fort."
7. Punyagiri,"3.1
 /5","30 km  from city center 
 
 7 out of 12 Places To Visit in Vizianagaram","A sacred site where a very famous and one of the oldest Shiva Temples id located, Punyagiri is a place located about 25 km from Vizianagaram. The most prominent feature of the temple is that the lingam enshrined in the temple is bathed by an underground water source."
8. Venkateswara Alayam Govindapuram,"3.1
 /5","23 km  from city center 
 
 8 out of 12 Places To Visit in Vizianagaram",Govindpuram situated around 20 km from Vizianagaram is village housing a temple famous for its magnificent sculpture of Lord Krishna on a chariot. However the most striking feature of the place is a Gita Mandir which is flocked by devotees from all around the globe.
9. Shopping in Vizianagaram,"3.0
 /5","1 km  from city center 
 
 9 out of 12 Places To Visit in Vizianagaram",Vizianagaram is famed for various kinds of handicrafts especially wooden toys and beautiful wall hangings. Kalamari paintings are also quite popular in the city.
10. Ghanta Stambham/ Clock Tower,"3.1
 /5","2 km  from city center 
 
 10 out of 12 Places To Visit in Vizianagaram",A clock tower located in the city chimes as the clock strikes hour to define town.
11. Jami Vruksham,"3.1
 /5","15 km  from city center 
 
 11 out of 12 Places To Visit in Vizianagaram","Situated 10 km from Vizianagaram, Jami Vruksham is a tree lying on the banks of the River Gowthami. As per the legend, it is said that while on exile, Pandavas hid their weapons in this tree."
12. Sirimanu Utsav,"3.1
 /5","2 km  from city center 
 
 12 out of 12 Places To Visit in Vizianagaram","A most prominent and widely celebrated festival in the town, Sirimanu Utsav is held on the first Tuesday after Vijayadasami annually. During the festival a procession is organized comprising of two major activities namely Anjali Chariot and Paladhara."
1. Ganga Lake,"3.6
 /5","4 km  from city center 
 
 1 out of 10 Places To Visit in Itanagar","Ganga Lake, also known as Gyakar Sinyi, is a picturesque lake nestled in the heart of Arunachal Pradesh's capital city, Itanagar. Renowned as a major tourist attraction, Ganga Lake entices visitors from around the globe with its serene ambiance and natural beauty. Unlike many other lakes, Ganga Lake's unique feature is its green-colored water, owing to its lack of connection to moving rivers or streams."
2. Ita Fort,"3.5
 /5","2 km  from city center 
 
 2 out of 10 Places To Visit in Itanagar","Ita Fort, situated in Itanagar town, is a significant historical site in Arunachal Pradesh, India, named after the Assamese word for ""Fort of Bricks."" Believed to have been constructed by the Sutiya kings during the 14th or 15th century, the fort's irregular shape and extensive brickwork spanning 16,200 cubic meters attest to its ancient origins. It features three entrances on the western, eastern, and southern sides, reminiscent of other fortifications in the region."
3. Namdapha National Park,"4.3
 /5",3 out of 10 Places To Visit in Itanagar,"The third largest national park in the country, area-wise, Namdapha National Park is located in Arunachal Pradesh.  Namdapha National Park is a gem for any wildlife and nature lover. With its altitude varying between 200 meters to 4500 meters, it is a haven of rare and endangered animal and plant species with one of the most vibrant bio-diversities in the country. It is here that you can spot species such as Snow Leopard, Clouded Leopard, Leopard, and Tiger."
4. Rupa,"3.7
 /5","4 km  from city center 
 
 4 out of 10 Places To Visit in Itanagar","Lying at a distance of approximately 20 kilometres from Itanagar, the quaint hill station of Rupa is a must visit during a trip to Arunachal Pradesh. Untouched my mankind, Rupa lies on the banks of Tenga and provides tourists with the most brilliant sights. Verdant greenery, bright blue skies and crisp mountain air make this destination the perfect specimen of the beauty of the region."
5. Gompa Buddhist Temple,"3.2
 /5","3 km  from city center 
 
 5 out of 10 Places To Visit in Itanagar","Gompa Buddhist Temple, situated atop a hill just above the Nehru Museum in Itanagar, boasts a stunning entrance gate at the base of the hill, with a spiraling road leading up to the gompa. Despite its proximity to the main road, the gompa feels secluded, nestled on the hilltop, offering a tranquil and serene ambiance. It stands out as one of the most peaceful spots in Itanagar, providing visitors with a higher vantage point to admire the scenic beauty of the town."
6. Itanagar Wild Life Sanctuary,"3.2
 /5","2 km  from city center 
 
 6 out of 10 Places To Visit in Itanagar","Located near Itanagar, the Itanagar Wildlife Sanctuary is a haven for nature enthusiasts and wildlife lovers alike. Spanning over an area of approximately 140.30 square kilometers, this sanctuary is home to a diverse range of flora and fauna endemic to the Eastern Himalayas. The sanctuary's lush greenery and pristine landscapes provide a natural habitat for various species including Himalayan black bear, hoolock gibbons, clouded leopards, and numerous species of birds and butterflies."
"7. Indira Gandhi Park, Itanagar","3.2
 /5","2 km  from city center 
 
 7 out of 10 Places To Visit in Itanagar","Indira Gandhi Park, located in the heart of Itanagar, is a prominent recreational and leisure destination in Arunachal Pradesh. Named after the former Prime Minister of India, the park spans across lush greenery and landscaped gardens, offering a serene escape from the bustling city life. The park features well-maintained lawns, vibrant flower beds, and winding pathways, perfect for leisurely strolls or picnics with family and friends."
8. Jawaharlal Nehru State Museum,"3.2
 /5","4 km  from city center 
 
 8 out of 10 Places To Visit in Itanagar","The Jawaharlal Nehru State Museum, situated in Itanagar, serves as a cultural hub, showcasing the rich heritage and tribal life of Arunachal Pradesh, India. Established in the 1980s, the museum offers visitors a glimpse into the diverse traditions and artifacts of the region. Its extensive ethnographic collection on the ground floor features traditional art, musical instruments, religious objects, and handicrafts such as wood carvings and cane products."
9. Polo Park,"3.2
 /5","9 km  from city center 
 
 9 out of 10 Places To Visit in Itanagar","Polo Park, located in Itanagar, Arunachal Pradesh, is a serene retreat nestled amidst lush greenery and tranquil surroundings. This park is a popular attraction for both locals and tourists alike, offering a peaceful escape from the hustle and bustle of city life. Named after the traditional sport of Polo, which holds historical significance in the region, the park features well-maintained lawns, walking trails, and vibrant floral displays, making it an ideal spot for nature lovers and outdoor enthusiasts."
10. Ziro Festival Of Music,,10 out of 10 Places To Visit in Itanagar,"Billed as India's biggest and most fun outdoor festival, the Ziro Festival of Music displays the best of northeastern talent on a single stage. Over 5500 feet above sea level, the misty mountains make this experience spectacular for anyone attending it. Ziro Music Festival is held in Ziro Valley of Itanagar. Located in the Lower Subansiri District, the lush green valley is a perfect setting for a music festival that's so high on energy and vigour."
1. Sela Pass,"4.2
 /5","24 km  from city center 
 
 1 out of 12 Places To Visit in Tawang","One of the most breathtaking places in the Himalayan vista, Sela Pass is a lifeline for the people of Arunachal Pradesh, and it is as heavenly as it gets. The Sela Pass and Himalayas combine to enchant one and all by their mystic beauty. One of the most stunning gifts of nature to the North-East, Sela Pass is a lifeline for the people of Arunachal Pradesh as it is the only way that connects Tawang district of the state to the rest of the country."
2. Tawang Monastery,"4.4
 /5","2 km  from city center 
 
 2 out of 12 Places To Visit in Tawang","Located amidst the picturesque surroundings, the Tawang Monastery also known as the Golden Namgyal Lhatse is one of the gems in Arunachal Pradesh. Perched at the height of 3,000 metres above sea level, it has been recognised as the second largest monastery in the world, the first one being Lhasa. The monastery is believed to be 400 years old and has control over 17 gompas in the region. Built as a large mansion, it is an abode for over 300 monks."
3. Madhuri Lake,"4.2
 /5","21 km  from city center 
 
 3 out of 12 Places To Visit in Tawang","Nestled amidst the Himalayas, Arunachal Pradesh boasts numerous stunning lakes, but none are as captivating as Madhuri Lake, also known as Sangetsar Lake or Sangestar Tso. Situated on the route from Tawang to Bum La Pass in Tawang district, near the Indo-China border, this remote lake sits at an altitude of over 3,708 meters (12,165 ft) above sea level. Its pristine beauty, nestled amidst rocky mountains, earned it fame after appearing in the Bollywood movie ""Koyla,"" leading to its colloquial name, Madhuri Lake, after the film's lead actress."
4. Nuranang Falls,"4.3
 /5","11 km  from city center 
 
 4 out of 12 Places To Visit in Tawang","Nestled deep within the forests of Tawang, Nuranang Falls offers a serene and unspoiled experience, hidden away from the bustling tourist trails. Cascading from a height of approximately 100 meters, this magnificent waterfall, also known as Jang Falls or Bong Bong Falls, is a pristine white veil of water. Located 2 km northeast of Jang town in the Tawang district of Arunachal Pradesh, Nuranang Falls is a tranquil spot, often referred to as the BTK waterfall, known for its crystal-clear waters ideal for swimming."
5. Tawang War Memorial,"3.5
 /5","1 km  from city center 
 
 5 out of 12 Places To Visit in Tawang","The Tawang War Memorial, a stupa dedicated to the martyrs of the 1962 Indo-China war, stands as a solemn tribute amidst the serene landscapes of Tawang.  Overlooking the scenic Tawang-Chu valley., the 40 feet structure incorporates Buddhist architectural elements, including prayer wheels, colorful serpents, and flags, donated by the local community. Inside, statues of deities such as Lord Buddha add to the sanctity of the place."
6. Gorichen Peak,"3.7
 /5","56 km  from city center 
 
 6 out of 12 Places To Visit in Tawang","Gorichen Peak is the highest peak of Arunachal Pradesh and it is located between Tawang and West Kameng districts of Arunachal Pradesh. Situated at an altitude of 22,500 feet above sea level, this peak is roughly 164 kilometre from Tawang. The peak is locally known as Sa-Nga Phu, which literally means the Kingdom of Deity and is considered to be one of the sacred peaks protecting them from all the evils according to the local Monpa tribe."
7. Penga Teng Tso Lake,"3.3
 /5","30 km  from city center 
 
 7 out of 12 Places To Visit in Tawang","Nestled amidst the enchanting landscapes of Arunachal Pradesh, Pankang Teng Tso Lake, also known as P.T. Tso, stands as a captivating natural wonder. Surrounded by the majestic Himalayan Mountains and fed by pristine rivers, this picturesque lake offers a serene retreat for nature enthusiasts. With its tranquil waters, misty forests, and melodious birdcalls, the lake provides a perfect blend of tranquility and adventure."
8. Jaswant Garh War Memorial,"3.3
 /5","18 km  from city center 
 
 8 out of 12 Places To Visit in Tawang","Jaswant Garh War Memorial, located near Sela Pass in the Tawang district of Arunachal Pradesh, stands as a poignant tribute to the valor and sacrifice of Indian soldiers during the 1962 Indo-China War. Dedicated to Rifleman Jaswant Singh Rawat, a brave soldier of the 4th Garhwal Rifles, the memorial commemorates his heroic efforts in defending the pass against Chinese forces. Situated 21km from Sela Pass en route to Tawang, this site welcomes visitors of all backgrounds to pay their respects to the courageous martyr."
9. Rafting in Kameng River,,"100 km  from city center 
 
 9 out of 12 Places To Visit in Tawang","The Kameng River, formerly known as the Bhareli River, is situated in the eastern Himalayan mountains of Arunachal Pradesh, India. Originating from a glacial lake beneath the snow-capped Gori Chen mountain on the India-Tibet border, it flows through the Bhalukpong circle of West Kameng District and Sonitpur District of Assam. As a major tributary of the Brahmaputra River, it merges with the Brahmaputra at Tezpur, just east of the Kolia Bhomora bridge."
10. Urgelling Gompa,,"3 km  from city center 
 
 10 out of 12 Places To Visit in Tawang","Urgelling Gompa, situated approximately 3 kilometers from Tawang Township, is renowned as the birthplace of the 6th Dalai Lama, Tsangyang Tashi. Established in 1487 AD, this monastery holds immense importance for Buddhists. His Holiness the 6th Dalai Lama was born here in 1683 and lived in Urgelling Village. To reach the monastery, one can either hire a taxi or walk the short distance from Tawang."
11. Taktsang Gompa,,"17 km  from city center 
 
 11 out of 12 Places To Visit in Tawang","Taktsang Monastery, situated in the Tawang District of Arunachal Pradesh, India, is a significant Tibetan Buddhist sacred site perched on a cliffside. It is located 45 kilometers from Tawang township and is believed to have been consecrated by Guru Padmasambhava in the 8th century CE. Surrounded by dense forests and towering mountains, the monastery comprises three tiers, each dedicated to a Tibetan guru or deity."
12. Bum La Pass,,"16 km  from city center 
 
 12 out of 12 Places To Visit in Tawang","Bum La Pass, located in the Tawang district of Arunachal Pradesh, India, is a high mountain pass situated at an elevation of approximately 15,200 feet (4,600 meters) above sea level. It holds immense strategic importance as it serves as a border between India and China, lying near the Line of Actual Control (LAC) between the two countries. The pass is approximately 37 kilometers away from Tawang town and is accessible via a scenic drive through rugged mountain terrain."
1. Daying Ering Wildlife Sanctuary,"4.1
 /5","20 km  from city center 
 
 1 out of 5 Places To Visit in Pasighat","This sanctuary, and a couple of other facilities (school, hospital) in Pasighat are named after Dr. D. Ering. Over 25% of the sanctuary is covered with water bodies and hence attracts many migratory birds from Mongolia and Siberia."
2. Pangin,"3.5
 /5","10 km  from city center 
 
 2 out of 5 Places To Visit in Pasighat","Around 60km from Pasighat, this is the point where green water of River Siang meets the blue water of River Siyom and presents a marvelous sight."
3. Kekar Monying,"3.1
 /5","20 km  from city center 
 
 3 out of 5 Places To Visit in Pasighat","This is a mountain cliff near Rottung and is an important historical place too. In 1911, tt was here where Adi tribesmen put up a strong fight against the British."
4. Rafting in Pasighat,"3.1
 /5","0 km  from city center 
 
 4 out of 5 Places To Visit in Pasighat",Adventure enthusiasts should try rafting in this area as River Siang and Brahmaputra are considered to be among the best rivers for rafting in the world.
5. Komsing,"3.1
 /5","39 km  from city center 
 
 5 out of 5 Places To Visit in Pasighat",This is a village on the left bank of River Siang. It is also important historically as Noel Williamson was murdered here and there is a stone epitaph bearing his name still lies near the Siang.
1. Bomdila Monastery,"3.6
 /5","1 km  from city center 
 
 1 out of 8 Places To Visit in Bomdila","Inaugurated in 1965, this abode to Buddhist monks and Llamas is the biggest attraction in Bomdila. The monastery is also believed to be an exact replica of Tsona Gontse Monastery, Tibet."
2. Apple Orchards,"3.3
 /5","35 km  from city center 
 
 2 out of 8 Places To Visit in Bomdila",Seeing nature's game has it's own delights ! The Apple Orchards at Bomdila give such a feeling as well. The systematic plantations when fully laden with apples look beautiful and full. The view is fascinating and one of a kind. Make a point not to miss a visit to these orchards.
3. Bomdila View Point,"3.2
 /5","1 km  from city center 
 
 3 out of 8 Places To Visit in Bomdila","Clouds kissing the ground, the massive Himalayas towering all around, the panoramic view of the Kemeng Valley - not a single one of the will let you down. The view from up here is sure to take up a permanent space in your memory and its beauty will be unforgettable."
4. Eaglenest Wildlife Sanctuary,"3.2
 /5","18 km  from city center 
 
 4 out of 8 Places To Visit in Bomdila","Also known as Eagle's Nest Wildlife sanctuary, this place lies between Sessa Orchid Sanctuary and Pakhui Tiger Reserve."
5. Tipi Orchid Reserve,"3.2
 /5","30 km  from city center 
 
 5 out of 8 Places To Visit in Bomdila","Also known as Orchids Research and Development Centre, this sprawling area is full of orchids of various varieties - nearly 20 species endangered. The entrance says, 'temple of orchids'."
6. Upper Gompa,"3.2
 /5","1 km  from city center 
 
 6 out of 8 Places To Visit in Bomdila","It is located atop a steep hill. There is a monk school, a prayer hall as well as a Buddha Temple in its premises. This Gompa show cases various shades of life and also of Buddhism."
7. Lower Gompa,"3.2
 /5","0 km  from city center 
 
 7 out of 8 Places To Visit in Bomdila","Locates at the end of the famous Bazaar Street, the main attraction here is the marvelous Tibetan architecture and the massive prayer hall inside. Also visit the Craft Centre located opposite to it."
8. R.R Hill,"3.2
 /5","23 km  from city center 
 
 8 out of 8 Places To Visit in Bomdila","This is the highest point of Bomdila. At this height, viewers can see the roads leading to the Bhutan border as well as the one up Tawang. Along with that, the entire panoramic view of the Himalayas surround the viewer."
1. Tarin Fish Farm,"3.6
 /5","3 km  from city center 
 
 1 out of 9 Places To Visit in Ziro","Tarin Fish Farm, nestled within Bulla village, stands as a prominent attraction in Ziro, inhabited by the Apatani tribes. This farm offers a unique spectacle, showcasing the traditional Apatani farming practice of cultivating two varieties of rice, Mipya and Emoh, alongside a breed of fish called Ngihi. Spanning across 7.4 hectares, the farm was established under the North Eastern Council (NEC) in 1985-86, embodying the rich agricultural heritage of the region."
2. Kile Pakho,"3.2
 /5","6 km  from city center 
 
 2 out of 9 Places To Visit in Ziro","Kile Pakho, located in Ziro, Arunachal Pradesh, is a popular tourist destination known for its stunning natural beauty and panoramic views of the surrounding landscapes. Situated approximately 7 kilometers from the main town of Ziro, Kile Pakho is a hilltop vantage point that offers visitors a mesmerizing vista of the lush green valleys, terraced rice fields, and rolling hills of the Ziro Valley."
3. Ziro Music Festival,,3 out of 9 Places To Visit in Ziro,"The most happening music festival in the laps of the green valley of Arunachal Pradesh, the Ziro Music Festival is an outdoor music festival that showcases the talent of independent artists in India. This festival brings together the most significant musical talents of India and a diverse audience to witness it. Ziro Music Festival is an amalgam of vibrant culture, music, and art. Initiated in 2012, by Bobby Hano and Menwhopause guitarist Anup Kutty spans over four days and is hosted by the members of the Apatani tribe in Ziro."
4. Talley Valley Wildlife Sanctuary,"3.2
 /5","4 km  from city center 
 
 4 out of 9 Places To Visit in Ziro","Nestled amidst the lush greenery of Arunachal Pradesh, Talley Valley Wildlife Sanctuary stands as a pristine natural gem, offering visitors an enchanting retreat into the heart of biodiversity. Spread over an area of approximately 337 square kilometers, this sanctuary is renowned for its rich flora and fauna, captivating landscapes, and serene ambiance."
5. Meghna Cave Temple,"3.2
 /5","2 km  from city center 
 
 5 out of 9 Places To Visit in Ziro","Situated amidst the picturesque valleys of Arunachal Pradesh's Ziro, Meghna Cave Temple stands as a serene sanctuary for worshipers. Dedicated to Lord Lakulisha, the 28th embodiment of Lord Shiva, this ancient temple boasts detailed carvings of Sanskrit scriptures and remarkable architecture, captivating visitors with its spiritual aura. Dating back 5000 years, the temple was discovered in 1962, drawing pilgrims from far and wide to embark on a sacred journey."
6. Shiv Linga,"3.7
 /5","8 km  from city center 
 
 6 out of 9 Places To Visit in Ziro","Located in the picturesque Ziro Valley of Arunachal Pradesh, the Shiv Linga stands as a remarkable natural wonder. This self-made formation, adorned with a naturally occurring garland of Sfatic, boasts impressive dimensions of 25 feet in length and 22 feet in width. Ziro itself is a charming town nestled at an altitude of 5754 feet above sea level, offering stunning vistas of the surrounding Apatani plateau."
7. Trekking in Dolo Mando,"3.2
 /5","2 km  from city center 
 
 7 out of 9 Places To Visit in Ziro","Perched atop a hill in the quaint old town of Hija in Ziro Valley, Arunachal Pradesh, Dolo Mando beckons adventurers and nature enthusiasts alike. Offering a mesmerizing vista of the Ziro Valley below, adorned with verdant rice fields and meandering rivers, this trekking destination promises a serene escape into nature's embrace. The trek to Dolo Mando, spanning approximately 2-3 hours, is relatively gentle, making it accessible to visitors of varying fitness levels."
8. Pine Grove,"3.2
 /5","36 km  from city center 
 
 8 out of 9 Places To Visit in Ziro","Pine Grove, affectionately known as Myolyang, is a picturesque retreat located a mere 3 kilometers from Old Ziro town in Arunachal Pradesh. Renowned as a favored picnic spot, Pine Grove enchants visitors with its serene ambiance and stunning scenery. The grove is adorned with majestic pine trees, creating a captivating landscape that attracts photographers and nature enthusiasts alike. Offering a perfect setting for a day outing, Pine Grove provides ample opportunities for relaxation and leisure amidst nature's splendor."
9. Trekking in Midey,"3.2
 /5","0 km  from city center 
 
 9 out of 9 Places To Visit in Ziro","Midey, located in the scenic Ziro Valley of Arunachal Pradesh, is famed for its towering pine trees and captivating landscapes. It offers thrilling trekking opportunities amidst dense bamboo groves, making it a haven for adventure enthusiasts. Accessible only by trekking, Midey promises a memorable experience immersed in the serene beauty of nature, with its rugged terrain and breathtaking vistas ensuring an unforgettable adventure for all."
1. Mehao Wildlife Sanctuary,"4.2
 /5","134 km  from city center 
 
 1 out of 11 Places To Visit in Roing","People call it the 'real ocean of green paradise on earth'. A virgin forest left largely untouched and unexplored, this sanctuary houses a frighteningly massive number of animal, plants, birds, fish, butterflies and reptiles' species."
2. Mayudia,"3.1
 /5","14 km  from city center 
 
 2 out of 11 Places To Visit in Roing","Unique hill resort 56km from Roing, Mayudia is situated in the midst of lush greenery and breathtaking scenery of the Himalayas. December to March receive massive amount of snow fall which adds another charm to the place. Mayudia is an excellent place for trekking and honey moon couples."
3. Nehru van Udayan,"3.1
 /5","2 km  from city center 
 
 3 out of 11 Places To Visit in Roing","Located on the banks of Deopani River, the Nehru Van Udyan houses an exciting captivating cactus house, orchid area and a beautiful garden. Ejeez tower (a guest house) located close to the garden is an excellent place to view the Deopani River."
4. Hunli,"3.1
 /5","23 km  from city center 
 
 4 out of 11 Places To Visit in Roing","This is actually a small quaint town in itself 2 hours from Roing on way to Anini. The road to Hunli from Roing is good and thrilling all throughout. Hunli is famous for trekking and after a two hour trek you can visit the main attraction, the Temple cave at Kupunli."
5. Bhashmaknagar Fort,"3.1
 /5","14 km  from city center 
 
 5 out of 11 Places To Visit in Roing","Built with burnt bricks in the 12th century, this fort is one of the most important and oldest archaeological sites of Arunachal Pradesh. Various artefacts like potteries, terracotta figurines, terracotta plaques and decorative tiles that were found during its excavation process reflect upon the forward state of civilization at that time."
6. Mehao Lake,"3.1
 /5","10 km  from city center 
 
 6 out of 11 Places To Visit in Roing",This huge lake located within the Mehao Wildlife Sanctuary at a height of almost 3000m and is one of the biggest tourist attractions of Arunachal Pradesh. Covering an area of nearly 4 sq. km. the lake attracts many ducks and other birds. Boating also takes place in the lake.
7. Iphi Pani Ghat,"3.1
 /5","0 km  from city center 
 
 7 out of 11 Places To Visit in Roing","Famous for fishing and angling, this place mesmerizes visitors with the amazing scenery of the Dibang river and the valley."
8. Salley Lake,"3.1
 /5","3 km  from city center 
 
 8 out of 11 Places To Visit in Roing",It is a part of Mehao Wildlife Sanctuary. There are many varieties of fish in the lake. A scenic spot.
9. Rukmini Nati,"3.1
 /5","9 km  from city center 
 
 9 out of 11 Places To Visit in Roing","Also called the Chimiri Fort, it is located in the heart of Chimiri Village, some 10km from Roing. Believed to be built in 14th C, visitors can see ruins of baked bricks signifying the progress in technology at that time."
10. Itapakhur and Padum Pukhri,"3.1
 /5",10 out of 11 Places To Visit in Roing,"Located in the Ithili villages, these are two famous ponds of Arunachal Pradesh. Lotuses bloom in these lakes during October November."
11. Kampona Pond,"3.1
 /5","15 km  from city center 
 
 11 out of 11 Places To Visit in Roing",The name Kampona translated to 'good looking' in the Adi dialect. The beautiful pond is believed to have been the abode of the Nag Raja.
1. Lake of No return,,,
2. Miao,,,
3. World War II Cemetery,,,
4. Nampong,,,
5. Stilwell Road,,,
6. Namdapha National Park,,,
1. Kheti and Lajo village,,,
2. Khonsa Museum,,,
3. Namdapha National Park,,,
4. Miao,,,
5. Trekking and hiking,,,
1. Pasighat- Jengging-Yinkiong circuit,,,
2. Dr. Daying Ering memorial wildlife sanctuary,,,
3. Mouling National Park,,,
4. Rafting in Brahmputra River (Tuting),,,
1. Meghna cave temple,,,
2. Kamala reserve forest,,,
3. Rafting in River Subansiri,,,
4. Daporijo Good Shepherd church,,,
5. Shopping in Daporijo,,,
1. Local Sightseeing,,,
2. Trekking,,,
1. Umananda Temple,"4.6
 /5","6 km  from city center 
 
 1 out of 34 Places To Visit in Guwahati","Umananda Temple is a Shiva temple located on Peacock Island, in the middle of the river Brahmaputra. Peacock Island is known as the smallest inhabited riverine island in the world. Country boats are available all the time during the day to take the visitors to the island. The mountain on which the temple has been built is known as Bhasmacala."
2. Kamakhya Temple,"4.3
 /5","4 km  from city center 
 
 2 out of 34 Places To Visit in Guwahati",Kamakhya Temple is one of the most revered shrines of Goddess Shakti in India. It is also one of the four Shakti Peethas (Temples with highest powers of divinity). This is also one of the oldest and most revered places for Tantric practices. The temple is especially decked up during the Ambubachi Festival.
3. Guwahati Zoo,"3.5
 /5","6 km  from city center 
 
 3 out of 34 Places To Visit in Guwahati","The proud possessors of some rare and endangered species, the Assam Zoo spread over 130 acres of land is a major tourist attraction. The whiter tigers, one horned rhinos, Swamp tapirs and leopards to name a few, are usually the tourists' favourites."
4. Umananda Island,"4.0
 /5","48 km  from city center 
 
 4 out of 34 Places To Visit in Guwahati","The smallest river island in the world, Umananda Island lies at the heart of the Brahmaputra River. The Island is home to a very rare and endangered species called  Golden Langurs who are considered to be highly sacred among the people of the Himalayas. The major attraction of the island is the Umananda Devi Temple."
5. Pobitora Wildlife Sanctuary,"4.2
 /5","33 km  from city center 
 
 5 out of 34 Places To Visit in Guwahati","One of the major wildlife sanctuaries of Assam, the Pobitora Wildlife Sanctuary is located on the border of Nagaon and Kamrup District. Famous majorly for its One Horned Rhinoceros it is a must visit for tourists! November to February offer best weather conditions."
6. Cruising in the Brahmaputra,,6 out of 34 Places To Visit in Guwahati,"One of the prime things to do in Guwahati is experience a cruise ride in the Brahmaputra. Considered to be one of the most romantic experiences in the city, you can opt for a romantic candle lit dinner or watch a mesmerizing sunset with your significant other. You can also enjoy mouth watering cuisine and live music."
7. Assam State Museum,"4.2
 /5","5 km  from city center 
 
 7 out of 34 Places To Visit in Guwahati","Assam State Museum, also known as Assam Rajyik State Museum, is one of the most famous museums of North- East India that gives insights into the rich culture of ancient history and the modern history of North-East India. It has artefacts and sculptures dating back to the 5th-12th century"
8. Guwahati Planetarium,"3.9
 /5","5 km  from city center 
 
 8 out of 34 Places To Visit in Guwahati","The Guwahati Planetarium, located on MG Road is an excellent destination for the 'universe lovers'. Apart from the regular Skywatching sessions, special shows projected on a dome-shaped overhead screen are the star attraction. These shows are available in Hindi, English as well as Assamese."
"9. Regional Science Centre, Guwahati",,"9 km  from city center 
 
 9 out of 34 Places To Visit in Guwahati","Regional Science Centre is one of the 27 centres maintained and administered by the Government of India’s National Council of Science Museums. Locally known as Science Museum, it houses rare instruments, machinery, rare science equipment, demo experiment setups, etc."
10. Fancy Bazar,,"4 km  from city center 
 
 10 out of 34 Places To Visit in Guwahati","Endearingly called as the ‘Chandni Chowk of Guwahati’, Fancy Bazaar is probably the best flea market in all of Guwahati. Consisting of a bazillion tiny shops, stray stalls, roadside setups, Fancy Bazaar is sure to lure you with its labyrinthian alleys and its throwaway prices."
11. ISKCON Guwahati,"3.5
 /5","4 km  from city center 
 
 11 out of 34 Places To Visit in Guwahati","The landmark of the town, this stark white complex id located just 2km from the city. Beautiful idols of Krishna and his wife, Rukmini are worshipped in this temple. It is located on a hilltop of Ulubari Chariali area."
12. Chandubi Lake,,"45 km  from city center 
 
 12 out of 34 Places To Visit in Guwahati","Chandubi Lake is an earthquake-born natural lake located at the foot of the Garo Hills and surrounded by Assam and Meghalaya. It is an extremely calm and peaceful lake surrounded by tea gardens, deep forests and tiny villages. It is a must-visit picnic spot."
