visit_places,rating,turist_attration,visit_place_summary,best_time
3. Jagdalpur,"4.7
 /5","3 out of 22  Places to visit in Chhattisgarh
				
		      
		         
		        10  Tourist attractions",Jagdalpur is a beautiful and naturally bountiful city in the Bastar district of Chhattisgarh and is one of the most popular tourist destinations in the state after Raipur and Bhilai. It is well connected to the state capital and to other nearby cities and is relatively unknown among tourists outside...,Best Time:  November to February
4. Charre Marre Waterfalls,,4 out of 22  Places to visit in Chhattisgarh,Charre Marre Waterfalls is a refreshing and offbeat place to visit in the state of Chattisgarh. The tortuous waterfall is 16 meters high and the clear water falling from such a great height is quite a sight to see. The bountiful and pristine Jogidhara river is the reason behind the birth of this mes...,
5. Sirpur,,5 out of 22  Places to visit in Chhattisgarh,"Sirpur is a small village located in the state of Chhattisgarh, situated on the banks of river Mahanadi. It is 35 km away from the Mahasamund district and around 78 km away from the city of Raipur, which is the capital of Chhattisgarh. The village of Sirpur is an archaeological wonder. Inspiration t...",
6. Mainpat,,6 out of 22  Places to visit in Chhattisgarh,"Mainpat is an underrated hill station with green pastures, deep valleys, breathtaking waterfalls, dense forests and untouched rivulets. The hill station hasn’t been completely commercialised yet and receives a relatively smaller influx of tourists compared to its counterparts. Mainpat is often calle...",
7. Madku Dweep,,7 out of 22  Places to visit in Chhattisgarh,"Madku dweep is a beautiful island situated near the silent river, Shivnath, in the Bilaspur district of Chhattisgarh. The name Madku stems out from the fact that the island is of the shape of a frog. The beauty of this island is considered to be spell-bounding. The picturesque Madku Dweep has an are...",
8. Dhamtari,"3.0
 /5","8 out of 22  Places to visit in Chhattisgarh
				
		      
		         
		        4  Tourist attractions","Home to the Chalukya empire of the 14th Century, Dhamtari is an important tourist town of Chattisgarh, also known for its temples. The town has a population of around 82000. It attracts a lot of tourists every year, particularly during the monsoon seasons to the Ravishankar Water Dam.It is also famo...",Best Time:  October to March
9. Bhilai,"3.6
 /5","9 out of 22  Places to visit in Chhattisgarh
				
		      
		         
		        12  Tourist attractions","A culturally profound city, Bhilai is a planned city situated in Durg District, 25 km from capital city Raipur. The city is mainly known for Bhilai Steel Plant (SAIL), one of the largest steel plants in India. The city is a fascinating fusion of people of different religion and languages giving the ...",Best Time:  October to March
10. Chitrakote Falls,,10 out of 22  Places to visit in Chhattisgarh,"The broadest waterfall in India, Chitrakote is popularly known as the Niagara of India, because of its width. Situated in the west side of Jagdalpur in the Bastar District of Chhattisgarh, this waterfall originates from the Indravati river. Chitrakote Falls is at the height of about 30 metres with a...",
11. Indravati National Park,"3.5
 /5",11 out of 22  Places to visit in Chhattisgarh,"The only tiger reserve in the green state of Chhattisgarh, Indravati National Park boasts of a wildlife population larger than many others in the country. It is among the three royal tiger reserves this state, the other being Achanakmar and Undanti-Sitandadi tiger reserves. Deriving its name from th...",
12. Chirmiri,,12 out of 22  Places to visit in Chhattisgarh,"Chirmiri is a beautiful hill station in the Koriya district of Chhattisgarh. Chirimiri or Chirmiri is referred to as the ‘Jannat/Heaven of Chhattisgarh’. The lush greenery, mountains and rivers make it a perfect getaway destination for anyone looking to relax. This scenic town is also known for its ...",
13. Tirathgarh Falls,,13 out of 22  Places to visit in Chhattisgarh,"Tirathgarh Falls is undoubtedly one of the most frequented tourist spots of Chhattisgarh. It is one spot that provides you with a culmination of entertainment, fun, picnic and adventure. The Tirathgarh Falls are also regarded as one of the best-known picnic spots in the whole of Jagdalpur. The uniqu...",
14. Dantewada,"5.0
 /5","14 out of 22  Places to visit in Chhattisgarh
				
		      
		         
		        7  Tourist attractions","Dantewada recently came into being, in 1998, after the formation of Chattisgarh from Madhya Pradesh. Situated in the Bastar district, the quaint little town of Dantewada offers a panoramic landscape view of gushing rivers, sparkling waterfalls, mighty hill peaks and lush green meadows. Historically,...",Best Time:  October to March
15. Ghatarani Waterfalls,,15 out of 22  Places to visit in Chhattisgarh,"Ghatarani Waterfalls is a favourite picnic spot located in the Raipur district of Chhattisgarh. It is also the biggest waterfalls in the state. It is set amongst thick vegetation and lush greenery, making the sight spectacular to witness. The water plunges into a natural pool. Visitors often take a ...",
16. Bhoramdeo Temple,,16 out of 22  Places to visit in Chhattisgarh,The Bhoramdeo Temple bears a striking resemblance to the Sun Temple of Konark and is believed to have been constructed during the 7th to 12th century. It is popularly known as the Khajuraho of Chhattisgarh as it also resembles the Khajuraho Temple of Madhya Pradesh. It is the main temple among the b...,
17. Malhar,,17 out of 22  Places to visit in Chhattisgarh,Malhar is Chhattisgarh’s most historic town and is of utmost archaeological prominence. Its outstanding sculptures and ancient charm has bagged a spot for this town on the ‘Ancient Monuments and Archaeological Sites and Remains of National Importance’ list that is maintained by the Archaeological Su...,
18. Rajim,,18 out of 22  Places to visit in Chhattisgarh,"Rajim is considered the perfect place to witness Chhattisgarh’s rich cultural heritage. Also known as the ‘Prayag’ of Chhattisgarh, Rajim is the spot of the union of three holy rivers - Mahanadi (Chitrotpala), Pairi and Sondur. This point of meeting of these three rivers is also referred to as the ‘...",
19. Guru Ghasidas (Sanjay) National Park,,19 out of 22  Places to visit in Chhattisgarh,The Guru Ghasidas National Park is a beautifully protected reserve stretched into an area of 1440.71 sq kilometres. The park is one of the unique national parks in the area and is a must visit when travelling to the state of Chhattisgarh. It is located in the Koriya District of Chhattisgarh and was ...,
20. Kanger Ghati National Park,,20 out of 22  Places to visit in Chhattisgarh,"Known as one of the densest national parks in India, the Kanger Ghati National Park offers a rich biodiversity, breathtaking landscapes, natural waterfalls, beautiful limestone caves, and home to the state bird of Chhattisgarh, Hill Myna. The park is located in the Jagdalpur, Bastar district of Chha...",
21. Purkhauti Muktangan,,21 out of 22  Places to visit in Chhattisgarh,"The Purkhauti Muktangan has been developed by the Tourism Ministry of the Chhattisgarh Government in Naya Raipur. It was inaugurated by the former president of India, APJ Abdul Kalam, in November 2006. It is an open-air art museum and park which displays artefacts, habitats, folk dances and food hab...",
22. Achanakmar Wildlife Sanctuary,,22 out of 22  Places to visit in Chhattisgarh,"Achanakmar Tiger Reserve is situated in Chattisgarh, around 60 kms from Bilaspur. Categorised as a tropical deciduous forest, Achanakmar Tiger Reserve is breathtakingly beautiful with the most varied flora and fauna. This tiger reserve is a part of the huge Achanakmar-Amarkantak Biosphere Reserve, a...",
1. Calangute Beach,"4.4
 /5","10 km  from city center 
 
 1 out of 184 Places To Visit in Goa","Calangute is the largest beach in north Goa stretching from Candolim to Baga. It is a hub for tourists and backpackers as it is the perfect place to look for accommodation. It is known for the beach shacks and water sports like parasailing, water surfing, banana ride and jet-skiing.",
2. Fort Aguada,"4.4
 /5","6 km  from city center 
 
 2 out of 184 Places To Visit in Goa",Fort Aguada is a 17th-century Portuguese fort looking out at the confluence of Mandovi River and the Arabian Sea. The crumbling ramparts of the fort stand on the Sinquerim Beach. The highlight of the fort is a lone four-storey lighthouse (which is one-of-its-kind in Asia) and a stunning view of the sunset.,
3. Cruise in Goa,"4.3
 /5","1 km  from city center 
 
 3 out of 184 Places To Visit in Goa","Cruise in Goa allows one to explore the exotic scenery, pristine waters and marvel the breathtaking view of the sunset. There are several types of cruises in Goa ranging from simple evening cruises, elaborate and romantic dinner cruises, backwater cruises, and casino cruises. All of these usually originate from Miramar Beach in Panjim.",
4. Water Sports in Goa,"4.4
 /5","26 km  from city center 
 
 4 out of 184 Places To Visit in Goa","Goa is a haven for water sports like kneeboarding, kite surfing, snorkelling, parasailing, paragliding, diving, and kayaking. The water sports in Goa can be enjoyed at any one of the beaches in the north or the south. You can also engage in your favorite activities through a number of licensed water sports package operators.",
5. Dudhsagar Falls,"4.3
 /5","52 km  from city center 
 
 5 out of 184 Places To Visit in Goa","One of India's tallest waterfalls, the Dudhsagar Falls is located inside the Mollem National Park. The Dudhsagar falls should be visited during the monsoon when it is in full flow and the surrounding deciduous forests are at their verdant best.",
6. Anjuna Beach,"4.4
 /5","13 km  from city center 
 
 6 out of 184 Places To Visit in Goa","Anjuna Beach is among the most popular beaches in North Goa, stretching almost 2km. From family outings to adrenaline-filled adventures, Anjuna Beach is famed for its golden coastline, nightclubs, beach shacks, watersports, full-moon parties and flea markets.",
7. Chapora Fort,"3.7
 /5","16 km  from city center 
 
 7 out of 184 Places To Visit in Goa","Chapora Fort is undeniably one of the most famous forts in Goa. More popularly known as the 'Dil Chahta Hai Fort', its claim to fame was the 2001 Bollywood blockbuster shot here. A scintillating escape, it offers beautiful views of the sea and Chapora River.",
8. Thalassa,,"15 km  from city center 
 
 8 out of 184 Places To Visit in Goa","Thalassa- The Greek Taverna is one of the most popular restaurants in Goa. Having moved out to the backwaters along with Siolim (from its prior location of Vagator hilltop), it is famous for its signature cocktails and sunsets. Reverberating with the cultural flavour of Greece, it serves authentic Greek Mediterranean cuisine.",
9. Basilica of Bom Jesus,"4.3
 /5","9 km  from city center 
 
 9 out of 184 Places To Visit in Goa","The Basilica of Bom Jesus Church is a UNESCO World Heritage Site. It houses the tomb and remains of St. Francis Xavier. Even after 400 years, the remains are in a good condition and are taken out once every decade.",
10. Baga Beach,"4.5
 /5","10 km  from city center 
 
 10 out of 184 Places To Visit in Goa","One of the most popular beaches in North Goa, Baga Beach is located close to Calangute beach, around 30 Km North of Panjim. It is the perfect destination to witness the dazzling nightlife of Goa as signature places such as Britto's, Tito's and Mambos are located in the vicinity. It is also known for a vast range of water sports.",
11. Butterfly Beach,"3.9
 /5","56 km  from city center 
 
 11 out of 184 Places To Visit in Goa","A little to the south of Palolem in Canacona region of Goa lies the Butterfly Beach. This beach, also known as Honeymoon Beach, is one of the most secluded and lesser-known beaches of Goa. The beach is mostly accessible by a boat (ferry) ride from the nearby beaches.",
12. Divar Island,,"9 km  from city center 
 
 12 out of 184 Places To Visit in Goa","Divar Island is a slice of heaven tucked away in dense woods amidst the beauty of nature. Connected to Old Goa only through ferry service, this island is synonymous with natural beauty, serenity and tranquillity.",
13. Scuba Diving in Goa,"4.3
 /5","14 km  from city center 
 
 13 out of 184 Places To Visit in Goa","Goa is one of the few places in India offering scuba diving. Diving in Goa is not the best owing to limited underwater visibility, but it is still popular among tourists as it is a good destination for beginners to explore the delights of the underwater world. The absence of strong water current with occasional surges adds serenity to the activity.",
14. Shopping in Goa,"3.7
 /5","2 km  from city center 
 
 14 out of 184 Places To Visit in Goa","For carrying back an authentic Goan experience with you, you can buy some feni, cashew-nuts, Goan hats and handicrafts. There are lots of shops in Panjim, the capital where you can buy interesting stuff. Goa is also known for its hand-painted ceramics.",
15. Dona Paula,"4.4
 /5","5 km  from city center 
 
 15 out of 184 Places To Visit in Goa","Dona Paula is one of the most popular tourist hangouts in Goa famous for its vast stretch of beach. The small beach is also popular as the Lover's Paradise and features a jetty (Dona Paula Jetty) adjacent to it, which provides an ethereal view of the Arabian Sea and Mormugao harbour.",
16. Arambol Beach,"4.4
 /5","25 km  from city center 
 
 16 out of 184 Places To Visit in Goa","Beautiful and serene, Arambol Beach is among the best beaches of North Goa and is relatively unexploited by tourist activities. Considered to be one of the most spectacular beaches in Goa, Arambol beach has a distinct Bohemian feel to it, which attracts tourists from all over the world.",
17. Vagator Beach,"4.3
 /5","15 km  from city center 
 
 17 out of 184 Places To Visit in Goa","Vagator beach is one of the most beautiful beaches in Goa. It is famous for its soft white sands and imposing but beautiful rocky cliffs. The beach is divided into two major parts, namely Little Vagator, also known as Ozran Beach, and Big Vagator. It is also popular for its sweeping panoramic views, beach shacks and trance parties.",
18. Fontainhas and Sao Tome,,"0 km  from city center 
 
 18 out of 184 Places To Visit in Goa",Fontainhas and Sao Tome is a beautiful Latin Quarter located in Panaji on the banks of the Ourem Creek and named after the natural springs nearby. It was laid out on a piece of land acquired by a Goan in the 18th century who had made a fortune in Mozambique. The quarter is now recognised as a heritage site and is famous for its charming Portuguese style houses on the base of the Altinho hills.,
19. Church of Our Lady of the Immaculate Conception,"3.7
 /5","0 km  from city center 
 
 19 out of 184 Places To Visit in Goa","Located in Panjim, Our Lady of Immaculate Conception is one of the oldest chapels in Goa. It is known to house the second largest church bells in Goa. The view of the sunset and the church lit up at night is a soothing sight to witness.",
20. Tito's Nightclub,"3.5
 /5","10 km  from city center 
 
 20 out of 184 Places To Visit in Goa","Titos nightclub is one of the top things to do in Goa for most tourists. Located in Calangute, Tito's is one of the most famous nightclubs in Goa. The entire lane in Baga, where the pub is located is popularly called Tito lane.",
21. Brittos,,"11 km  from city center 
 
 21 out of 184 Places To Visit in Goa","Be it during the season or off-season, you cannot NOT come here if you're in Goa. It is amongst the best shacks in Baga Beach and is just perfect if you're seeking the company of the sea and the sand while you sip on that beer.",
22. Mambos,"3.7
 /5","10 km  from city center 
 
 22 out of 184 Places To Visit in Goa","Located in the famous Titos lane, Mambos is a popular nightclub in Goa. The open-air lounge encircles a dancing area with a host of Indian and international DJs playing every night. They also serve a variety of Hookahs.",
23. Club LPK - Love Passion Karma,"3.7
 /5","5 km  from city center 
 
 23 out of 184 Places To Visit in Goa","Club LPK is one of the most popular nightlife spots in Goa. Surrounded by water on three sides, it was shifted to Nerul from its original location. The nightclub has generally some good DJs playing a mix of house, trance, and Bollywood music.",
24. Anjuna Flea Market,,"12 km  from city center 
 
 24 out of 184 Places To Visit in Goa","Anjuna Flea Market on Wednesday is a treasure trove of trinkets, handicrafts, hippie clothing, souvenirs and everything else from cheap bags to footwear and junk jewellery. Also popular as the queen of hippie flea markets, the Anjuna Flea Market as much a part of the Goa experience as the beaches.",
25. Palolem Beach,"4.4
 /5","58 km  from city center 
 
 25 out of 184 Places To Visit in Goa","Palolem Beach, located in the South Goa is one of the most beautiful beaches of the Union Territory has to offer. Mostly unspoiled, the beach is often flocked with foreign tourists.",
26. Bungee Jumping in Goa,,"56 km  from city center 
 
 26 out of 184 Places To Visit in Goa","Located near one of the most popular beaches in Goa that is obviously Anjuna Beach, the Gravity Adventure Zone conduct Bungee Jumping from a height of 80 ft and has been installed by a US based company- Sports tower Inc.

It is one of the lowest Bungee jumping site and is good for a first try and is priced at a reasonable rate.",
27. Spa and Massages,"3.7
 /5","8 km  from city center 
 
 27 out of 184 Places To Visit in Goa",Goa is full of spa resorts and Ayurvedic massage centers. Beachside massages are also available at some beaches. Various spas of Goa which are preferred by the tourists from all around the world are Sereno Spa and Leela Kempinski Goa Spa Center.,
28. Colva Beach,"4.4
 /5","26 km  from city center 
 
 28 out of 184 Places To Visit in Goa","One of the most happening beaches in South Goa, Colva beach is mainly renowned for its shopping and phenomenal nightlife. The beach is full of shacks and eating joints.",
29. Morjim Beach,"4.3
 /5","18 km  from city center 
 
 29 out of 184 Places To Visit in Goa","Morjim is sometimes referred to as ""Little Russia"" owing to the large population of Russian immigrants staying here. Morjim beach is home to exotic species of birds and some rare endangered animals such as sea turtles.",
30. Casino,"3.6
 /5","0 km  from city center 
 
 30 out of 184 Places To Visit in Goa","Located on a yacht in River Mandovi, the casino is one of the coolest places to be when you're in the party state. The entry fee is placed high at Rs. 1600, and the casino holds ample number of tables of American Roulette, Blackjack and Rummy. Go ahead and try your luck!",
31. Agonda Beach,"4.4
 /5","53 km  from city center 
 
 31 out of 184 Places To Visit in Goa","If you're looking for a place away from the hustle bustle of the crowd with more space and solitude, Agonda beach is the right place for you. With the clear blue water and coconut trees, this beach is a delight for nature lovers.",
32. Candolim Beach,,"7 km  from city center 
 
 32 out of 184 Places To Visit in Goa","Candolim Beach lies around 15 kms ahead of Panjim, along the stretch of Fort Aguada. Forming a part of the trio of Calangute, Baga and Candolim party beaches in Goa, this beach is known for its pulsating nightlife and thrilling water sports.",
33. Se Cathedral,"3.3
 /5","9 km  from city center 
 
 33 out of 184 Places To Visit in Goa","Se Cathedral, or Sé Catedral de Santa Catarina, is one of the largest churches in Asia. Located in Old Goa, it is dedicated to Saint Catherine. It is a famous landmark in Goa exhibiting Portuguese-Manueline architectural style.",
34. Cavelossim Beach,"3.0
 /5","38 km  from city center 
 
 34 out of 184 Places To Visit in Goa","With magnificent black rocks that contrast with the white sand shores of this idyllic beach, the Cavelossim Beach is located in South Goa. Cleaner and quieter than the cliched party beaches of Goa, it is the perfect spot for travellers looking to enjoy the endless expanse of the clear blue waters.",
35. Patnem Beach,"3.9
 /5","60 km  from city center 
 
 35 out of 184 Places To Visit in Goa","Situated in Canacona, South Goa, Patnem Beach is one of the most secluded and tranquil beaches of Goa. It is the perfect place to laze by the beach and do absolutely nothing. The waters are quite safe to swim in, and the views of the sunset are magnificent and uninterrupted.",
36. Betalbatim Beach,,"24 km  from city center 
 
 36 out of 184 Places To Visit in Goa","Located in South Goa between Colva Beach and Majorda Beach, Betalbatim Beach is one of the quieter beaches of Goa. Lined with a plethora of fast food chains, local restaurants and spas, the highlight of the beach is the easy spotting of the dolphins. You can ask the local fishermen who can hike you a ride in a sea to have a glimpse of the dolphins.",
37. Fort Tiracol,"3.0
 /5","29 km  from city center 
 
 37 out of 184 Places To Visit in Goa","Across the Terekhol river from the Querim beach in North Goa lies the majestic Tiracol Fort. Once a crucial part of the maritime defence, it now serves as Fort Tiracol Heritage Hotel. It is popular for an unbeatable panoramic view of the Arabian Sea.",
38. Grande Island,,"17 km  from city center 
 
 38 out of 184 Places To Visit in Goa","Originally known as Iha Grande, Grande Island in Goa is one of the most sought after destinations, owing to its serene and tranquil environment and the availability of a plethora of thrilling activities like snorkeling, dolphin spotting, and scuba diving.",
39. Bhagwan Mahavir Wildlife Sanctuary,,"53 km  from city center 
 
 39 out of 184 Places To Visit in Goa","Bhagwan Mahavir Sanctuary is a 240 sq km protected natural habitat located in the Western Ghats of India, on the Goa-Karnataka border. Touted to be Goa's largest wildlife reserve, it is home to the famous Dudhsagar Falls, Mollem National Park, Tambdi Surla Temple, and Devil's Canyon among other attractions.",
40. Arvalem Waterfalls,,"22 km  from city center 
 
 40 out of 184 Places To Visit in Goa","One of the most beautiful spots to visit in North Goa, Arvalem Waterfalls is located in Sanquelim. Also known as Harvalem Falls, it forms a huge pool of water at its base - almost as big as a lake. This makes Arvalem Falls a popular tourist and picnic spot.",
41. Mollem National Park,,41 out of 184 Places To Visit in Goa,Mollem National Park part of the famous Bhagwan Mahavir Wildlife Sanctuary is the biggest national park in Goa that takes you on a fascinating wildlife adventure. Jeep safaris take the tourists right into the heart of the dense forest reserve.,
42. Sunburn Festival,"3.0
 /5","14 km  from city center 
 
 42 out of 184 Places To Visit in Goa","Ranked amongst few of the world’s best music festivals, Sunburn Music Festival tops the list of every Electronic Music fan’s bucket list. It is mostly famous for its extravagance, fantastic music and noteworthy artist line-up.",
43. Carnival in Goa,,43 out of 184 Places To Visit in Goa,"The Goa Carnival is a legacy of the Portuguese rule and has grown from being a quiet event to a popular, massive scale festival, attracting thousands of tourists from India and abroad. One of the most awaited occasions in the state, the carnival has a long history of its origin, stretching back right to the ancient Roman Empire. The atmosphere is charged with spectacular parades, dances, musical events and the great food, all of which are major crowd pullers. Festivities occur in the cities of Panjim, Mapusa, Margao, and Vasco da Gama, with Panjim having it the largest of all",
44. Church of St. Cajetan,"3.4
 /5","9 km  from city center 
 
 44 out of 184 Places To Visit in Goa","The Church of Saint Cajetan, located in Old Goa close to the Se Cathedral, is one of the most beautiful churches in Goa. The only surviving domed structure in Goa, the church is admired for its wonderful and graceful architecture that reminds you of Basilica of St. Peter in Rome.",
45. Bambolim Beach,"3.4
 /5","6 km  from city center 
 
 45 out of 184 Places To Visit in Goa","Bambolim Beach is a pristine beach located in Bambolim in North Goa, 7 kilometres away from Panjim. It is famous for being a virgin beach, untouched by commercialization and is barely ever crowded.",
46. Butterfly Conservatory Of Goa,,"21 km  from city center 
 
 46 out of 184 Places To Visit in Goa","The Butterfly Conservatory of Goa is a butterfly sanctuary and garden in the Ponda district of Goa. Spread over 4000 square metres, it is designed as a place to stroll and absorb in the serene beauty of nature. In the vast expanses of the garden, one can take a leisurely walk and observe over a hundred different species of butterflies from close quarters.",
47. Sri Mahadeva Temple,,"46 km  from city center 
 
 47 out of 184 Places To Visit in Goa","Sri Mahadeva Temple, Tambdi Surla is one of the oldest temples in Goa to Lord Shiva. The inner sanctum of temple has a Shiva Linga mounted on a raised pedestal. There is also a statue of headless Nandi. The locals believe that there is a huge king cobra permanently sitting near the Shiva Linga.",
48. Church of St Francis of Assisi,"3.4
 /5","9 km  from city center 
 
 48 out of 184 Places To Visit in Goa",Church of St Francis of Assisi is a 16th-century Portuguese church located near Se Cathedral in Goa. It is a famous landmark which exhibits an eclectic mix of stunning architecture and intricate carvings.,
49. Cabo de Rama Beach,"3.4
 /5","45 km  from city center 
 
 49 out of 184 Places To Visit in Goa","Cabo de Rama Beach is a beautiful secluded beach located in Margao, South Goa. Surrounded by tall coconut trees, this beach is perfect for setting up a picnic, playing volleyball, or just spending some quality time.",
50. Church Of St Augustine,,"8 km  from city center 
 
 50 out of 184 Places To Visit in Goa","Church Of St. Augustine is a ruined church complex which was once the biggest church in Goa. Located near Nunnery of Santa Monica in Old Goa, there stands a solo tower (called St Augustine Tower) out of the four towers once forming the Church Of St. Augustine.",
51. Savoi Spice Plantation,,"19 km  from city center 
 
 51 out of 184 Places To Visit in Goa","Savoi Spice Plantation is a 40-hectare organic farm located 15km from Ponda. Established by Mr Shetye, the beautifully maintained farm is popular for the guided tour of the intercrop plantation and the Goan Saraswat Buffet at its Sadauli Restaurant.",
52. Ashwem Beach,"3.0
 /5","20 km  from city center 
 
 52 out of 184 Places To Visit in Goa","Ashwem Beach is one of the few beaches left in Goa that is yet to be discovered by the mainstream tourist crowd of Goa, offering its visitors an endless expanse of pearly white sands complemented well by the beautiful waves of the Arabian Sea. Surfing and Yoga are widely practised here.",
1. Ahmedabad,"4.1
 /5","1 out of 42  Places to visit in Gujarat
				
		      
		         
		        64  Tourist attractions","A rapidly growing metropolis, an industrial hub, an educational hotspot, and a city with a magnificent past – Ahmedabad is one of the most important cities in Gujarat. Located on the banks of the Sabarmati River, Ahmedabad is the former capital of Gujarat, and its delicious food, colourful culture i...",Best Time:  October to March
2. Kutch,"4.4
 /5","2 out of 42  Places to visit in Gujarat
				
		      
		         
		        20  Tourist attractions","Virtually an island that resembles the shape of a tortoise, Kutch is an erstwhile princely state of India holding onto its grandeur nature from the past. Kutch is probably one of the most beautiful, yet surreal places in India with the vast expanses of the white salt desert.  The plac...",Best Time:  July to March
3. Gir National Park,"4.2
 /5",3 out of 42  Places to visit in Gujarat,"Gir National Park and Wildlife Sanctuary is the only remaining home for the Asiatic Lions. Located in Talala Gir in Gujarat, the Sanctuary is a part of Kathiawar- Gir dry deciduous forests ecoregion. Gir National Park is closed from 16 June to 15 October every year and the best time for wildlife spo...",Best Time:  July to March
4. Somnath,"4.2
 /5","4 out of 42  Places to visit in Gujarat
				
		      
		         
		        16  Tourist attractions","Somnath, literally meaning 'lord of the moon' is a pilgrim center and is home to one of the 12 Jyotirlingas. It is a town which derives much of its identity from the mythology, religion, and legends that surround it.",Best Time:  September to March
5. Statue of Unity,,5 out of 42  Places to visit in Gujarat,"Statue of Unity is a memorial to The Iron Man of India, Sardar Vallabhbhai Patel. The statue has been erected to propagate Sardar Vallabhbhai Patel's vision of India and to inspire the Citizens of India through his patriotism and freedom struggle. The Bronze statue of the founding father of the Repu...",
6. Vadodara,"4.4
 /5","6 out of 42  Places to visit in Gujarat
				
		      
		         
		        29  Tourist attractions","Vadodara or Baroda is a cosmopolitan city located in Gujarat. Home to some of the most exemplary displays of architecture, Vadodara is a fitting memorial to Maratha leader Sayaji Rao Gaekwad III who had envisioned a dream to make this Big City an educational, industrial and commercial centre.",Best Time:  October to March
7. Dwarka,"4.1
 /5","7 out of 42  Places to visit in Gujarat
				
		      
		         
		        15  Tourist attractions","Located on the western tip of the Saurashtra peninsula in Gujarat, Dwarka is believed to be the capital city of Lord Krishna's kingdom. Known as Devbhoomi Dwarka, Dwarka boasts of being the only city that is a part of both Char Dham (four principal holy places) and also Sapta Puris (seven sacred cit...",Best Time:  July to March
8. Saputara,"3.9
 /5","8 out of 42  Places to visit in Gujarat
				
		      
		         
		        20  Tourist attractions","Snuggled in the Sahyadris or the Western Ghats, Saputara is a quaint little hill station in the Dang district of Gujarat. Popular for lush green forests, undulating mountains, dazzling waterfalls, dreamy winding roads, livid landscapes and plenty of charming cubbyholes to spend time with your loved ...",Best Time:  Mid March to mid November
9. Champaner,"3.9
 /5","9 out of 42  Places to visit in Gujarat
				
		      
		         
		        8  Tourist attractions","The Capital of the Sultanate of Gujarat, Champaner is a historical city located in the Panchmahal district in Gujarat. Being included in the elite list of the UNESCO World Heritage Sites across the globe, this marvellous archaeological park set in the heart of the city of Champaner and amidst t...",Best Time:  October to February
10. Junagadh,"2.5
 /5","10 out of 42  Places to visit in Gujarat
				
		      
		         
		        25  Tourist attractions","Being the capital of Junagadh Princely State once, the town shines with historical significance with many historical monuments to see.",Best Time:  July to March
11. Gandhinagar,"4.1
 /5","11 out of 42  Places to visit in Gujarat
				
		      
		         
		        18  Tourist attractions","Gandhinagar, the capital city of Gujarat, is located at a distance of around 23 km from Ahmedabad on the western bank of Sabarmati river. Gandhinagar, one of India's few planned cities encompasses Akshardham Temple, one of the country's most beautiful temple.",Best Time:  October to March
12. Porbandar,"4.4
 /5","12 out of 42  Places to visit in Gujarat
				
		      
		         
		        24  Tourist attractions","Porbandar, best known as the birthplace of Mahatma Gandhi, is a beautiful beach town with some temples and dams and is now also a popular trading hub. The ancient port city with a significant event in its history is a tourist destination which modestly offers a number of attractions.",Best Time:  Throughout the year
13. Bhuj,"4.3
 /5","13 out of 42  Places to visit in Gujarat
				
		      
		         
		        23  Tourist attractions","Bhuj is known as a desert city, with a history dating back to kingdoms and empires, palaces from the rule of the Naga chiefs, the Jadeja Rajputs, the Gujarat Sultans and the British Raj. With numerous temples, small streets, and traditional handicrafts, Bhuj is one of the unique historical sites in ...",Best Time:  July to March
14. Surat,"4.0
 /5","14 out of 42  Places to visit in Gujarat
				
		      
		         
		        44  Tourist attractions","Surat, having its name associated with Saurashtra (the good land), is a port city in Gujarat. The second most populated city in the state, Surat is a global diamond cutting centre and a commercial hub of textiles. Known as 'the city of flyovers', it attracts tourists who are intereste...",Best Time:  October to March
15. Patan,"4.0
 /5","15 out of 42  Places to visit in Gujarat
				
		      
		         
		        10  Tourist attractions","Home to Rani Ka Vav, the latest Indian entrant to the list of UNESCO World Heritage Site, Patan is a treasure trove of architectural gems and ancient temples that has a history dating back to the medieval period. Situated in Gujarat, this place is located at the banks of what are the remains of...",Best Time:  October to March
16. Dholavira,"2.7
 /5",16 out of 42  Places to visit in Gujarat,"Known as a remarkable excavation site during the Indus Valley Civilization, Dholavira was one of the most developed cities roughly 4500 years ago. It was a flourishing Harappan site between 2650 and 1450 BCE. Presently an archaeological site in Khadirbet of Kutch Gujarat, the village is al...",Best Time:  October to March
17. Ambaji,"4.8
 /5","17 out of 42  Places to visit in Gujarat
				
		      
		         
		        5  Tourist attractions","Ambaji is a beautiful town located in the state of Gujrat, majorly associated with pilgrimage and religious tourism. The place has numerous beautiful temples, which turn out to be mesmerising architectural specimens. Ambaji is majorly associated with the worship of Goddess Amba, and variou...",Best Time:  October to March
18. Anand,"3.3
 /5","18 out of 42  Places to visit in Gujarat
				
		      
		         
		        4  Tourist attractions","Anand is a major city located in the Anand District of Gujarat. It rests at a distance of 101 kilometres from Gandhinagar, the state capital. Anand is often known as the Milk Capital of India due to the establishment of the AMUL manufacturing plant and the milk revolution that took place in the 20th...",Best Time:  October to March
19. Girnar,"4.5
 /5","19 out of 42  Places to visit in Gujarat
				
		      
		         
		        2  Tourist attractions","Keeping up the delicate balance between the fine golden-brown sand of Gujarat’s richest desert on one hand, and the lush green of the Gir Forest on the other - Girnar - a group of mountains in the Junagadh district of Gujarat are a haven for thrill seekers and religious devotees alike due to their a...",Best Time:  July to March
